Weight class,Method,time
"['Heavyweight', 'Heavyweight', 'Lightweight', 'Heavyweight', 'Heavyweight', 'Lightweight', 'Lightweight', 'Lightweight', 'Lightweight']","['KO/TKO', 'KO/TKO', 'SUB', 'SUB', 'SUB', 'SUB', 'U-DEC', 'KO/TKO', 'KO/TKO']","[('1', '0:52'), ('1', '3:13'), ('1', '2:00'), ('1', '0:56'), ('1', '1:30'), ('1', '1:36'), ('2', '3:00'), ('1', '1:23'), ('1', '0:31')]"
"['Heavyweight', 'Heavyweight', 'Lightweight', 'Heavyweight', 'Heavyweight', 'Lightweight', 'Lightweight', 'Heavyweight', 'Lightweight']","['U-DEC', 'SUB', 'SUB', 'SUB', 'KO/TKO', 'KO/TKO', 'U-DEC', 'SUB', 'SUB']","[('3', '3:00'), ('1', '1:38'), ('1', '0:44'), ('1', '2:10'), ('1', '2:22'), ('1', '1:27'), ('2', '3:00'), ('1', '2:30'), ('1', '1:31')]"
"['Heavyweight', 'Heavyweight', 'Heavyweight', 'Heavyweight', 'Heavyweight', 'Heavyweight', 'Heavyweight']","['SUB', 'SUB', 'KO/TKO', 'U-DEC', 'KO/TKO', 'KO/TKO', 'S-DEC']","[('1', '8:08'), ('1', '0:53'), ('1', '8:16'), ('2', '3:00'), ('1', '0:17'), ('1', '3:43'), ('1', '12:00')]"
"['Heavyweight', 'Heavyweight', 'Heavyweight', 'Lightweight', 'Heavyweight', 'Heavyweight', 'Heavyweight']","['M-DEC', 'SUB', 'SUB', 'SUB', 'Overturned', 'U-DEC', 'SUB']","[('3', '3:00'), ('1', '3:44'), ('1', '4:03'), ('1', '0:16'), ('1', '1:51'), ('2', '3:00'), ('1', '10:05')]"
"['Middleweight', 'Heavyweight', 'Lightweight', 'Middleweight', 'Lightweight', 'Lightweight', 'Lightweight', 'Lightweight']","['KO/TKO', 'U-DEC', 'SUB', 'SUB', 'S-DEC', 'KO/TKO', 'SUB', 'KO/TKO']","[('1', '0:22'), ('2', '3:00'), ('1', '9:02'), ('1', '10:23'), ('2', '3:00'), ('1', '9:45'), ('1', '1:20'), ('1', '1:15')]"
"['Middleweight', 'Heavyweight', 'Middleweight', 'Heavyweight', 'Heavyweight', 'Middleweight', 'Middleweight', 'Heavyweight', 'Middleweight']","['SUB', 'KO/TKO', 'S-DEC', 'KO/TKO', 'SUB', 'SUB', 'U-DEC', 'U-DEC', 'U-DEC']","[('2', '1:28'), ('2', '0:38'), ('2', '3:00'), ('1', '0:43'), ('1', '11:01'), ('1', '0:52'), ('2', '3:00'), ('2', '3:00'), ('1', '12:00')]"
"['Middleweight', 'Middleweight', 'Heavyweight', 'Lightweight', 'Heavyweight', 'Middleweight', 'Middleweight', 'Lightweight']","['SUB', 'KO/TKO', 'KO/TKO', 'S-DEC', 'U-DEC', 'SUB', 'KO/TKO', 'KO/TKO']","[('1', '7:40'), ('1', '0:44'), ('1', '8:07'), ('3', '3:00'), ('2', '3:00'), ('1', '3:27'), ('1', '9:00'), ('1', '10:27')]"
"['Heavyweight', 'Lightweight', 'Heavyweight', 'Middleweight', 'Lightweight', 'Middleweight', 'Lightweight']","['KO/TKO', 'U-DEC', 'S-DEC', 'KO/TKO', 'U-DEC', 'SUB', 'KO/TKO']","[('2', '2:15'), ('3', '3:00'), ('2', '3:00'), ('2', '2:31'), ('2', '3:00'), ('1', '7:57'), ('1', '6:52')]"
"['Middleweight', 'Heavyweight', 'Middleweight', 'Heavyweight', 'Middleweight', 'Heavyweight', 'Heavyweight']","['KO/TKO', 'KO/TKO', 'SUB', 'U-DEC', 'KO/TKO', 'SUB', 'KO/TKO']","[('1', '9:56'), ('1', '0:43'), ('1', '12:00'), ('2', '3:00'), ('1', '2:58'), ('1', '1:56'), ('1', '10:01')]"
"['Heavyweight', 'Heavyweight', 'Heavyweight', 'Middleweight', 'Lightweight', 'Lightweight', 'Heavyweight']","['S-DEC', 'KO/TKO', 'SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO']","[('3', '3:00'), ('1', '4:30'), ('1', '6:28'), ('1', '2:53'), ('1', '1:23'), ('1', '1:21'), ('1', '0:28')]"
