Fighter,Elo,UFC Record,Unbeaten Streak,Avg. Opp. Elo,Last 5 Fights,DelME,DelME1,DelME2,DelME3
Sean Woodson,127.338,3-1-1,3,86.727,+ 0.1,+ 14.7,+ 16.6,- 18.8,+ 14.8
Karl Williams,127.310,2-0-0,2,55.786,+ 12.0,+ 15.3,+ 0.0,+ 0.0,+ 0.0
Da Woon Jung,127.300,4-2-1,0,115.024,- 18.0,- 16.6,+ 15.4,+ 15.3,- 0.1
Nicolae Negumereanu,127.275,4-2-0,0,94.590,- 17.4,+ 14.6,+ 16.2,+ 14.5,+ 16.8
CB Dollaway,127.167,11-9-0,0,119.738,- 18.1,+ 13.4,+ 17.2,- 16.2,- 14.5
Mike Russow,127.135,4-2-0,0,116.806,- 18.0,- 17.8,+ 13.0,+ 17.1,+ 16.0
Norman Parke,127.058,5-3-1,0,119.875,- 17.2,+ 15.4,- 16.1,- 14.7,+ 12.4
Molly McCann,126.962,6-4-0,0,101.503,- 15.7,+ 14.0,+ 16.8,+ 16.2,- 17.3
Gerald Meerschaert,126.950,10-8-0,0,116.955,- 17.4,+ 16.0,- 14.9,+ 13.2,+ 17.6
Bobby Green,126.946,10-9-1,0,142.020,- 14.9,- 12.1,+ 15.6,+ 18.2,- 16.0
Ben Rothwell,126.905,9-8-0,0,133.825,- 16.8,+ 14.7,- 16.8,+ 17.2,+ 17.4
Davey Grant,126.616,6-5-0,2,116.878,+ 18.9,+ 16.1,- 14.1,- 14.2,+ 17.3
Julia Avila,126.448,3-1-0,1,83.960,+ 14.0,- 16.8,+ 13.9,+ 15.3,+ 0.0
Bryan Barberena,126.430,9-8-0,0,136.857,- 15.0,- 13.5,+ 18.0,+ 17.4,+ 15.8
Travis Browne,126.406,9-7-1,0,149.784,- 16.6,- 14.7,- 15.1,- 14.1,+ 15.6
Maryna Moroz,126.303,6-4-0,0,104.258,- 18.3,+ 15.3,+ 16.2,+ 16.1,- 18.0
Lorenz Larkin,125.702,5-5-0,2,146.368,+ 21.0,+ 18.8,- 13.7,+ 17.7,+ 18.0
Joe Lauzon,125.552,15-12-0,1,128.393,+ 15.5,- 18.0,- 16.3,- 16.8,+ 13.2
Antonio Carlos Junior,125.455,7-5-0,0,116.877,- 14.6,- 17.9,- 18.6,+ 15.2,+ 14.7
Johnny Case,125.223,4-2-0,0,107.916,- 17.7,- 17.4,+ 14.5,+ 15.3,+ 15.3
Wilson Gouveia,124.925,6-4-0,0,110.243,- 17.2,- 16.4,+ 15.0,+ 13.2,- 18.2
Cathal Pendred,124.609,4-2-0,0,105.840,- 17.2,- 19.3,+ 14.6,+ 15.3,+ 15.3
Dan Henderson,124.257,9-9-0,0,162.198,- 11.2,+ 16.0,- 13.0,+ 17.0,- 17.1
Nordine Taleb,124.117,7-5-0,0,120.741,- 17.9,+ 14.7,- 15.9,- 17.3,+ 15.3
Paul Daley,124.038,2-1-0,0,177.589,- 13.1,+ 17.9,+ 19.2,+ 0.0,+ 0.0
Jordan Mein,123.874,5-4-0,2,130.346,+ 16.9,+ 17.0,- 16.0,- 17.1,- 14.0
Mirsad Bektic,123.845,6-4-0,0,125.768,- 18.7,- 16.5,- 17.2,+ 16.8,+ 14.2
Joaquim Silva,123.456,5-3-0,1,102.688,+ 12.7,- 17.1,- 17.5,+ 15.3,- 16.7
Karolina Kowalkiewicz,123.358,8-7-0,3,127.077,+ 17.2,+ 15.7,+ 17.7,- 16.0,- 13.5
Tim Kennedy,123.256,3-2-0,0,159.610,- 14.0,- 15.3,+ 19.2,+ 17.4,+ 16.0
Ricardo Almeida,123.206,6-5-0,0,121.750,- 16.9,+ 15.6,- 11.6,+ 17.2,+ 17.3
Claudio Silva,123.102,5-3-0,0,117.894,- 17.6,- 20.0,- 16.7,+ 13.1,+ 15.8
Rafa Garcia,122.909,4-3-0,2,112.518,+ 17.5,+ 17.3,- 13.3,+ 14.5,+ 17.4
Kevin Randleman,122.823,4-3-0,1,135.695,+ 16.5,- 15.6,- 14.7,+ 18.1,+ 17.5
Sara McMann,122.635,7-6-0,1,120.034,+ 18.5,- 15.0,+ 16.8,- 15.5,- 16.1
Jorge Rivera,122.468,8-7-0,1,114.129,+ 14.4,- 17.9,- 13.8,+ 18.4,+ 16.4
Warlley Alves,122.366,8-6-0,0,126.821,- 16.7,- 18.6,+ 14.9,- 17.3,+ 17.4
David Terrell,122.272,2-1-0,1,154.666,+ 15.7,- 12.6,+ 19.2,+ 0.0,+ 0.0
Ali Bagautinov,122.247,4-3-0,0,146.606,- 14.4,+ 15.1,- 13.1,- 13.9,+ 16.6
Mark Coleman,122.235,7-5-0,0,128.810,- 13.4,+ 15.9,- 18.4,- 17.8,- 19.4
Manel Kape,122.223,3-2-0,3,117.608,+ 17.2,+ 15.8,+ 17.3,- 13.9,- 14.0
Chris Daukaus,122.178,4-3-0,0,155.113,- 15.9,- 13.1,- 13.0,+ 15.4,+ 16.7
Olivier Aubin-Mercier,122.151,7-5-0,0,111.461,- 18.4,- 16.8,- 18.6,+ 16.9,+ 15.0
JJ Aldrich,122.091,7-5-0,0,104.225,- 19.0,- 17.2,+ 15.6,+ 14.7,+ 14.3
Matt Schnell,121.815,6-5-0,0,120.343,- 14.3,+ 16.4,- 16.8,+ 15.3,- 15.6
Bill Algeo,121.497,4-3-0,1,118.921,+ 15.8,- 16.3,+ 16.4,+ 16.5,- 14.3
Chad Laprise,121.225,6-4-0,0,107.640,- 20.4,- 16.6,+ 14.7,+ 14.0,+ 13.9
Nina Nunes,121.167,5-4-0,1,113.411,+ 16.8,- 14.2,- 14.7,+ 16.9,+ 16.1
Tim Means,121.117,14-12-0,0,124.005,- 14.0,- 18.0,- 15.8,+ 14.4,+ 15.6
Jeff Monson,120.847,4-3-0,0,123.077,- 13.9,+ 15.1,+ 17.5,+ 17.4,- 14.5
Philipe Lins,120.818,3-2-0,3,110.371,+ 15.9,+ 18.2,+ 16.9,- 15.3,- 14.8
Victor Henry,120.775,2-1-0,1,142.358,+ 16.5,- 14.3,+ 18.5,+ 0.0,+ 0.0
Marcus Davis,120.710,8-6-0,0,119.743,- 17.5,- 16.0,+ 14.4,- 17.1,- 17.9
Takeya Mizugaki,120.644,8-6-0,0,114.745,- 17.9,- 15.5,+ 13.2,- 17.2,- 17.9
Nate Landwehr,120.450,4-3-0,0,118.969,- 15.4,+ 15.8,+ 16.6,+ 16.6,- 17.4
Clay Guida,120.340,18-17-0,0,134.080,- 17.5,+ 16.4,- 15.6,+ 19.0,- 16.2
Curtis Millender,120.125,3-2-0,0,146.436,- 16.0,- 14.8,+ 16.1,+ 15.4,+ 19.5
Rafael Natal,119.872,9-7-1,0,112.651,- 17.7,- 17.5,- 16.2,+ 13.4,+ 14.9
Jacob Malkoun,119.737,3-2-0,1,117.409,+ 16.6,- 14.1,+ 15.9,+ 17.3,- 16.0
Davi Ramos,119.611,4-3-0,0,131.029,- 17.4,- 14.5,+ 14.3,+ 15.7,+ 17.9
Sergey Khandozhko,119.439,2-1-0,1,131.654,+ 16.2,- 12.7,+ 16.0,+ 0.0,+ 0.0
Jimmy Crute,119.383,4-3-1,1,130.607,+ 2.7,- 16.7,- 15.4,+ 15.2,+ 16.0
Steve Garcia,119.288,3-2-0,2,108.814,+ 17.2,+ 17.3,- 16.0,+ 16.1,- 15.2
Ed Herman,119.180,13-11-0,0,114.685,- 14.4,- 17.6,+ 14.3,+ 14.2,+ 15.8
Lucas Martins,119.146,4-3-0,1,118.576,+ 15.9,- 15.4,- 15.1,+ 15.8,+ 15.9
Alexis Davis,119.143,8-6-0,1,107.381,+ 13.7,- 16.1,+ 17.4,- 16.2,- 18.5
Maurice Smith,119.088,4-3-0,0,129.864,- 17.7,+ 15.0,+ 18.0,- 17.0,- 15.4
Adriano Martins,118.942,4-3-0,0,132.805,- 17.0,- 15.6,+ 15.1,+ 16.7,+ 15.8
Drew Fickett,118.912,4-3-0,1,113.352,+ 15.1,- 14.7,+ 15.9,- 16.1,+ 17.4
Saidyokub Kakhramonov,118.856,2-1-0,0,137.441,- 14.6,+ 16.7,+ 16.8,+ 0.0,+ 0.0
Kajan Johnson,118.747,4-3-0,0,124.049,- 13.2,- 15.6,+ 16.6,+ 17.0,+ 13.3
Patrick Cote,118.584,10-11-0,0,127.786,- 14.7,- 10.7,+ 17.7,+ 14.7,+ 15.9
Tyson Griffin,118.536,8-6-0,0,114.999,- 17.7,+ 14.2,- 15.6,- 19.1,- 17.2
Niko Price,118.515,7-6-0,0,138.428,- 16.9,+ 16.5,- 16.7,- 13.8,+ 17.5
Bruno Bulldog,118.322,3-2-0,3,98.705,+ 16.2,+ 15.9,+ 17.4,- 15.3,- 16.0
Benoit Saint Denis,118.224,2-1-0,2,112.901,+ 15.9,+ 15.2,- 12.8,+ 0.0,+ 0.0
Christian Rodriguez,118.179,2-1-0,2,111.272,+ 16.6,+ 16.7,- 15.1,+ 0.0,+ 0.0
Brunno Ferreira,118.177,1-0-0,1,147.578,+ 18.2,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Daniel Santos,118.163,2-1-0,2,111.318,+ 15.9,+ 17.6,- 15.4,+ 0.0,+ 0.0
Maiquel Falcao,118.098,1-0-0,1,145.828,+ 18.1,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Elves Brener,118.088,1-0-0,1,145.609,+ 18.1,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Thiago Alves,118.086,14-12-0,0,141.740,- 16.5,- 17.7,+ 13.8,- 18.6,- 19.5
Allan Nascimento,118.078,2-1-0,2,110.421,+ 16.7,+ 16.7,- 15.3,+ 0.0,+ 0.0
Khalid Murtazaliev,118.072,1-0-0,1,145.239,+ 18.1,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Brendan Schaub,118.009,6-5-0,0,125.111,- 14.2,- 14.0,+ 17.1,+ 16.2,- 18.0
Kenichi Yamamoto,117.816,2-1-0,0,128.801,- 13.5,+ 16.0,+ 15.2,+ 0.0,+ 0.0
Timur Valiev,117.775,2-1-0,0,121.329,- 14.8,+ 18.7,+ 13.8,+ 0.0,+ 0.0
Joanderson Brito,117.698,2-1-0,2,107.493,+ 15.9,+ 18.3,- 16.5,+ 0.0,+ 0.0
Todd Duffee,117.592,3-2-0,0,114.493,- 15.0,+ 15.2,+ 16.7,- 16.0,+ 16.8
Wilson Reis,117.489,7-6-0,0,129.342,- 15.4,+ 16.5,- 15.9,- 16.5,- 11.2
Che Mills,117.477,2-1-0,1,125.645,+ 15.9,- 15.2,+ 16.7,+ 0.0,+ 0.0
Volkan Oezdemir,117.451,6-6-0,0,159.872,- 15.8,+ 18.5,- 13.8,- 18.1,+ 17.6
John Castaneda,117.425,3-2-0,1,107.756,+ 15.9,- 17.6,+ 17.3,+ 16.3,- 14.5
Ismael Bonfim,117.420,1-0-0,1,130.916,+ 17.4,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Sanae Kikuta,117.404,1-0-0,1,130.561,+ 17.4,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Sergey Morozov,117.337,3-2-0,2,100.040,+ 15.3,+ 17.1,- 15.2,+ 16.2,- 16.0
Ikram Aliskerov,117.249,1-0-0,1,127.170,+ 17.2,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Ian Freeman,117.229,3-2-1,1,105.331,+ 1.4,- 18.2,+ 16.6,+ 16.7,+ 16.7
Timothy Johnson,117.155,4-3-0,1,111.128,+ 16.7,- 16.8,+ 16.8,- 16.8,+ 15.9
Muhammad Naimov,117.006,1-0-0,1,121.871,+ 17.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Gabriel Bonfim,116.879,1-0-0,1,119.103,+ 16.9,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Irina Alekseeva,116.813,1-0-0,1,117.675,+ 16.8,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Ikuhisa Minowa,116.772,1-0-0,1,116.767,+ 16.8,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Lee Murray,116.770,1-0-0,1,116.736,+ 16.8,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Dmitry Sosnovskiy,116.758,1-0-0,1,116.466,+ 16.8,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Lucas Almeida,116.738,1-0-0,1,116.030,+ 16.7,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Mark Schultz,116.736,1-0-0,1,116.000,+ 16.7,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Fares Ziam,116.731,3-2-0,1,103.779,+ 16.0,- 16.0,+ 16.1,+ 16.0,- 15.3
Albert Duraev,116.730,2-1-0,1,110.403,+ 16.7,- 15.3,+ 15.3,+ 0.0,+ 0.0
Trey Waters,116.708,1-0-0,1,115.379,+ 16.7,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Leslie Smith,116.702,4-3-0,2,95.538,+ 16.0,+ 16.7,- 16.0,+ 16.0,- 16.7
Hermes Franca,116.657,6-5-0,0,123.087,- 14.7,+ 15.3,- 16.0,- 16.0,+ 16.5
Javier Vazquez,116.645,1-0-0,1,114.007,+ 16.6,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Armen Petrosyan,116.625,2-1-0,1,110.853,+ 15.2,- 16.1,+ 17.5,+ 0.0,+ 0.0
Scott Ferrozzo,116.624,3-2-0,0,110.010,- 16.8,+ 15.2,+ 17.5,+ 16.7,- 16.0
Steve Erceg,116.611,1-0-0,1,113.274,+ 16.6,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Steve Bosse,116.586,2-1-0,2,99.363,+ 15.3,+ 17.2,- 15.9,+ 0.0,+ 0.0
Fernando Padilla,116.559,1-0-0,1,112.153,+ 16.6,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Brian Foster,116.410,3-2-0,2,95.373,+ 16.5,+ 15.9,- 16.8,+ 17.4,- 16.7
Augusto Sakai,116.395,5-4-0,1,128.463,+ 16.1,- 15.2,- 15.2,- 15.6,- 15.2
Magomed Mustafaev,116.390,3-2-0,0,121.714,- 16.8,+ 15.2,- 14.7,+ 16.5,+ 16.2
Remco Pardoel,116.378,3-2-0,0,121.533,- 16.8,+ 15.2,- 14.0,+ 16.0,+ 16.0
Wang Guan,116.368,1-0-0,1,107.989,+ 16.4,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Carlos Felipe,116.301,3-2-0,0,107.441,- 15.0,+ 15.3,+ 16.0,+ 16.7,- 16.7
Mark Hall,116.300,4-3-0,0,116.319,- 13.5,+ 13.9,- 14.6,+ 15.3,+ 15.3
Uros Medic,116.122,2-1-0,1,105.785,+ 16.7,- 15.8,+ 15.3,+ 0.0,+ 0.0
Ron Waterman,116.115,2-1-1,2,95.660,+ 16.0,+ 1.0,- 16.8,+ 16.0,+ 0.0
Jamey-Lyn Horth,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Yanal Ashmouz,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Loik Radzhabov,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Anshul Jubli,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
JeongYeong Lee,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Rinya Nakamura,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
HyunSung Park,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Mateusz Rebecki,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Aliaskhab Khizriev,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Logan Clark,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Tom Murphy,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Jonathan Wiezorek,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Mark Hughes,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Ben Earwood,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Bob Cook,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Scott Adams,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Marcelo Mello,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Sione Latu,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Tulio Palhares,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Cesar Marscucci,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Kazushi Sakuraba,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Enson Inoue,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Yoshiki Takahashi,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Justin Martin,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Rafael Carino,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Onassis Parungao,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Jon Hess,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Frank Hamaker,116.000,1-0-0,1,100.000,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Gerard Gordeau,116.000,2-1-0,0,116.000,- 16.0,+ 16.0,+ 16.0,+ 0.0,+ 0.0
Mikey Burnett,115.966,2-1-0,1,105.333,+ 15.2,- 15.3,+ 16.0,+ 0.0,+ 0.0
Paul Sass,115.964,3-2-0,0,124.924,- 16.1,- 15.5,+ 17.0,+ 15.3,+ 15.2
Farid Basharat,115.957,1-0-0,1,99.058,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Brady Hiestand,115.931,2-1-0,2,94.143,+ 16.0,+ 15.9,- 16.0,+ 0.0,+ 0.0
Brad Riddell,115.916,4-3-0,0,133.692,- 15.2,- 15.9,- 16.6,+ 16.3,+ 14.5
Chris Duncan,115.894,1-0-0,1,97.694,+ 15.9,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Christian Duncan,115.890,1-0-0,1,97.605,+ 15.9,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Jamal Pogues,115.850,1-0-0,1,96.742,+ 15.8,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Melissa Gatto,115.826,2-1-0,0,114.221,- 15.4,+ 15.9,+ 15.3,+ 0.0,+ 0.0
Ovince Saint Preux,115.642,14-12-0,0,133.658,- 18.2,+ 17.1,- 17.6,- 17.7,+ 15.0
Aspen Ladd,115.576,4-3-0,0,127.415,- 13.9,- 17.4,+ 15.5,- 15.3,+ 16.0
Brian Kelleher,115.546,8-7-0,0,123.838,- 16.7,- 17.6,+ 13.7,+ 14.2,- 15.4
Tainara Lisboa,115.546,1-0-0,1,90.147,+ 15.5,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Nurullo Aliev,115.514,1-0-0,1,89.438,+ 15.5,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Jack Jenkins,115.404,1-0-0,1,87.057,+ 15.4,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Vitor Petrino,115.334,1-0-0,1,85.521,+ 15.3,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Ebenezer Fontes Braga,115.333,1-0-0,1,85.500,+ 15.3,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Clayton Carpenter,115.330,1-0-0,1,85.438,+ 15.3,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Genki Sudo,115.298,2-1-0,1,100.000,+ 16.0,- 16.7,+ 16.0,+ 0.0,+ 0.0
Steve Nelmark,115.287,2-1-0,0,110.587,- 16.0,+ 15.3,+ 16.0,+ 0.0,+ 0.0
Daniel Marcos,115.266,1-0-0,1,84.059,+ 15.3,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Nazim Sadykhov,115.234,1-0-0,1,83.360,+ 15.2,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Steve Jennum,115.233,2-1-0,0,110.680,- 16.7,+ 15.2,+ 16.7,+ 0.0,+ 0.0
Tyrone Roberts,115.232,1-0-0,1,83.304,+ 15.2,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Vanessa Demopoulos,115.152,3-2-0,0,103.521,- 17.2,+ 15.2,+ 16.0,+ 15.9,- 14.7
Tom Lawlor,114.954,6-5-0,0,109.283,- 15.4,+ 16.2,+ 16.1,- 14.4,+ 15.1
Caio Magalhaes,114.941,4-3-0,0,112.396,- 15.2,- 16.7,+ 14.8,+ 15.2,+ 16.7
Jake Hadley,114.840,2-1-0,2,85.809,+ 15.5,+ 16.0,- 16.7,+ 0.0,+ 0.0
Ottman Azaitar,114.811,2-1-0,0,107.216,- 17.4,+ 16.9,+ 15.3,+ 0.0,+ 0.0
Andre Roberts,114.806,2-1-0,1,95.762,+ 16.8,- 17.3,+ 15.3,+ 0.0,+ 0.0
Brian Stann,114.793,6-5-0,0,117.207,- 18.2,- 13.9,+ 15.4,- 17.2,+ 13.7
Michael Trizano,114.775,4-3-0,1,111.891,+ 15.5,- 16.7,- 15.3,+ 16.1,- 16.8
Viviane Araujo,114.772,5-4-0,0,123.966,- 15.3,- 15.8,+ 15.9,- 15.3,+ 14.4
Abus Magomedov,114.765,1-0-0,1,73.119,+ 14.8,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Marcus McGhee,114.717,1-0-0,1,72.071,+ 14.7,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Cristian Quinonez,114.682,1-0-0,1,71.309,+ 14.7,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Trevor Peek,114.671,1-0-0,1,71.067,+ 14.7,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Ludovit Klein,114.637,3-2-1,3,104.213,- 2.6,+ 16.0,+ 17.2,- 16.6,- 16.1
Johnny Rhodes,114.627,2-1-0,0,105.813,- 16.6,+ 15.3,+ 16.0,+ 0.0,+ 0.0
Tom Duquesnoy,114.626,2-1-0,1,95.402,+ 14.6,- 16.0,+ 16.1,+ 0.0,+ 0.0
Abdul-Kerim Edilov,114.595,1-0-0,1,69.405,+ 14.6,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Bo Nickal,114.593,1-0-0,1,69.375,+ 14.6,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Melsik Baghdasaryan,114.577,2-1-0,0,105.444,- 16.7,+ 15.3,+ 16.0,+ 0.0,+ 0.0
Tamires Vidal,114.566,1-0-0,1,68.785,+ 14.6,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Royston Wee,114.561,2-1-0,0,105.333,- 16.7,+ 15.3,+ 16.0,+ 0.0,+ 0.0
Ronnie Lawrence,114.543,2-1-0,0,104.925,- 16.7,+ 16.0,+ 15.2,+ 0.0,+ 0.0
Matt Wiman,114.530,10-8-0,0,114.192,- 17.5,- 18.3,- 18.4,+ 12.8,- 17.1
Danny Roberts,114.496,7-6-0,0,121.693,- 15.9,- 12.5,+ 17.7,+ 14.7,- 17.3
Edmen Shahbazyan,114.483,5-4-0,0,127.924,- 15.8,+ 13.6,- 16.8,- 15.3,- 14.7
Carlos Condit,114.352,9-10-0,0,168.749,- 17.3,+ 17.9,+ 15.5,- 14.4,- 14.1
Piera Rodriguez,114.296,2-1-0,0,102.766,- 15.8,+ 14.9,+ 15.2,+ 0.0,+ 0.0
Manuel Torres,114.287,1-0-0,1,62.667,+ 14.3,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Ronny Markes,114.224,3-2-0,0,118.728,- 18.2,- 17.6,+ 16.0,+ 18.0,+ 16.0
Tim Credeur,114.211,3-2-0,0,117.614,- 17.6,- 15.5,+ 15.3,+ 16.0,+ 16.0
Chelsea Chandler,114.182,1-0-0,1,60.358,+ 14.2,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Ode Osbourne,114.179,4-3-0,1,91.043,+ 16.9,- 17.1,+ 15.3,+ 16.8,- 17.3
Mike Kyle,114.132,2-1-0,1,90.713,+ 16.1,- 16.7,+ 14.7,+ 0.0,+ 0.0
Julio Arce,114.042,5-4-0,0,114.046,- 15.2,+ 15.4,- 13.7,+ 16.3,- 15.8
Natan Levy,114.016,2-1-0,2,79.388,+ 15.3,+ 16.1,- 17.4,+ 0.0,+ 0.0
Juan Espino,113.960,2-1-0,0,100.418,- 15.9,+ 13.8,+ 16.0,+ 0.0,+ 0.0
Jake O'Brien,113.945,4-3-0,0,117.698,- 15.9,+ 15.3,- 16.7,- 14.7,+ 14.6
Scott Holtzman,113.924,7-6-0,0,121.657,- 16.4,- 19.0,- 13.6,+ 17.2,+ 14.6
Gaston Bolanos,113.871,1-0-0,1,53.501,+ 13.9,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Ricky Turcios,113.868,2-1-0,1,89.626,+ 14.6,- 16.7,+ 16.0,+ 0.0,+ 0.0
Aisling Daly,113.863,2-1-0,1,89.345,+ 15.3,- 17.5,+ 16.0,+ 0.0,+ 0.0
Tim Boetsch,113.858,12-12-0,0,140.394,- 15.8,- 15.2,+ 19.2,- 13.8,+ 17.5
Din Thomas,113.823,5-4-0,0,106.470,- 18.1,- 16.1,+ 14.5,+ 15.9,+ 15.1
Miranda Maverick,113.803,4-3-0,0,109.067,- 16.7,+ 14.6,+ 16.0,- 16.0,- 16.9
Terrance McKinney,113.496,3-2-0,0,108.174,- 17.4,+ 14.6,- 15.8,+ 16.0,+ 16.1
Luis Saldana,113.425,2-1-1,2,96.351,- 0.1,+ 15.4,- 16.7,+ 14.8,+ 0.0
Nate Maness,113.403,3-2-0,0,113.654,- 16.9,- 16.6,+ 15.3,+ 15.6,+ 16.0
Paddy Holohan,113.391,3-2-0,0,100.443,- 15.8,+ 14.7,+ 15.3,- 16.7,+ 16.0
Makhmud Muradov,113.389,3-2-0,0,113.249,- 15.9,- 17.6,+ 15.9,+ 15.0,+ 16.0
Kiichi Kunimoto,113.333,3-2-0,0,113.073,- 17.4,- 15.3,+ 15.3,+ 14.7,+ 16.0
Josh Samman,113.305,3-2-0,0,113.659,- 17.2,- 18.2,+ 16.7,+ 16.0,+ 16.0
Adam Wieczorek,113.238,2-1-0,0,94.611,- 16.8,+ 16.1,+ 14.0,+ 0.0,+ 0.0
Robert Peralta,113.110,4-3-0,0,114.044,- 15.5,- 16.1,+ 16.8,+ 14.6,- 16.6
Mark Hunt,113.065,8-8-1,0,146.325,- 15.2,- 16.0,- 17.3,+ 18.7,- 16.2
Aleksei Oleinik,112.941,9-8-0,0,129.951,- 15.7,+ 14.1,- 16.6,- 16.7,- 13.3
Marc-Andre Barriault,112.907,5-5-0,2,107.943,+ 16.6,+ 17.5,- 14.8,+ 17.0,- 15.6
Rich Attonito,112.750,3-2-0,0,104.128,- 17.4,+ 16.2,- 17.3,+ 15.3,+ 16.0
Sumudaerji,112.696,3-2-0,0,90.986,- 16.4,+ 14.5,+ 15.3,+ 15.6,- 16.3
