Weight class,Method,time
"['Middleweight', 'Middleweight', 'Featherweight', 'Heavyweight', 'Lightweight', 'Middleweight', 'Lightweight', 'Featherweight', 'Middleweight', 'Featherweight', 'Lightweight']","['U-DEC', 'U-DEC', 'U-DEC', 'U-DEC', 'S-DEC', 'U-DEC', 'SUB', 'U-DEC', 'SUB', 'U-DEC', 'KO/TKO']","[('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('1', '0:47'), ('3', '5:00'), ('2', '3:51'), ('5', '5:00'), ('4', '3:54')]"
"['Middleweight', 'Middleweight', 'Lightweight', 'Light Heavyweight', 'Featherweight', 'Lightweight', 'Featherweight', 'Bantamweight', 'Heavyweight', 'Heavyweight', 'Welterweight']","['U-DEC', 'U-DEC', 'U-DEC', 'U-DEC', 'KO/TKO', 'SUB', 'S-DEC', 'U-DEC', 'KO/TKO', 'U-DEC', 'U-DEC']","[('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('1', '2:45'), ('1', '2:22'), ('3', '5:00'), ('3', '5:00'), ('3', '1:30'), ('3', '5:00'), ('3', '5:00')]"
"['Bantamweight', 'Welterweight', 'Featherweight', 'Heavyweight', 'Welterweight', 'Lightweight', 'Light Heavyweight', 'Welterweight', 'Bantamweight', 'Middleweight']","['S-DEC', 'KO/TKO', 'U-DEC', 'U-DEC', 'U-DEC', 'SUB', 'SUB', 'SUB', 'SUB', 'KO/TKO']","[('3', '5:00'), ('1', '0:40'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('1', '0:17'), ('2', '3:09'), ('1', '3:32'), ('1', '4:09'), ('2', '5:00')]"
"['Light Heavyweight', 'Welterweight', 'Bantamweight', 'Featherweight', 'Bantamweight', 'Welterweight', 'Featherweight', 'Featherweight', 'Lightweight', 'Heavyweight']","['M-DEC', 'S-DEC', 'U-DEC', 'Overturned', 'U-DEC', 'KO/TKO', 'SUB', 'SUB', 'U-DEC', 'KO/TKO']","[('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '1:54'), ('3', '5:00'), ('1', '1:34'), ('2', '2:16'), ('2', '1:32'), ('3', '5:00'), ('1', '1:04')]"
"['Lightweight', 'Welterweight', 'Bantamweight', 'Lightweight', 'Middleweight', 'Bantamweight', 'Light Heavyweight', 'Light Heavyweight', 'Welterweight', 'Bantamweight', 'Middleweight', 'Light Heavyweight']","['KO/TKO', 'SUB', 'U-DEC', 'S-DEC', 'SUB', 'KO/TKO', 'KO/TKO', 'U-DEC', 'S-DEC', 'SUB', 'KO/TKO', 'U-DEC']","[('1', '4:52'), ('2', '0:42'), ('3', '5:00'), ('3', '5:00'), ('1', '2:07'), ('1', '0:56'), ('1', '1:17'), ('3', '5:00'), ('3', '5:00'), ('2', '1:27'), ('2', '4:49'), ('5', '5:00')]"
"['Featherweight', 'Featherweight', 'Bantamweight', 'Bantamweight', 'Featherweight', 'Bantamweight', 'Lightweight', 'Bantamweight', 'Featherweight', 'Middleweight']","['SUB', 'U-DEC', 'SUB', 'KO/TKO', 'U-DEC', 'KO/TKO', 'U-DEC', 'KO/TKO', 'SUB', 'KO/TKO']","[('2', '3:38'), ('3', '5:00'), ('3', '0:22'), ('1', '1:09'), ('3', '5:00'), ('3', '1:58'), ('3', '5:00'), ('1', '1:54'), ('1', '4:51'), ('3', '3:34')]"
"['Lightweight', 'Welterweight', 'Lightweight', 'Bantamweight', 'Lightweight', 'Middleweight', 'Light Heavyweight', 'Featherweight', 'Welterweight', 'Light Heavyweight', 'Heavyweight', 'Light Heavyweight']","['KO/TKO', 'KO/TKO', 'U-DEC', 'S-DEC', 'SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'S-DEC', 'KO/TKO', 'SUB', 'SUB']","[('2', '4:36'), ('2', '1:10'), ('3', '5:00'), ('3', '5:00'), ('1', '2:58'), ('1', '3:11'), ('1', '0:35'), ('1', '0:07'), ('3', '5:00'), ('1', '3:15'), ('1', '3:38'), ('2', '4:26')]"
"['Featherweight', 'Lightweight', 'Welterweight', 'Lightweight', 'Featherweight', 'Featherweight', 'Light Heavyweight', 'Welterweight', 'Lightweight', 'Heavyweight']","['U-DEC', 'U-DEC', 'U-DEC', 'S-DEC', 'U-DEC', 'U-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC', 'KO/TKO']","[('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('1', '2:13'), ('1', '0:12'), ('3', '5:00'), ('1', '2:26')]"
"['Featherweight', 'Welterweight', 'Featherweight', 'Heavyweight', 'Lightweight', 'Lightweight', 'Welterweight', 'Middleweight', 'Middleweight', 'Featherweight']","['U-DEC', 'KO/TKO', 'U-DEC', 'SUB', 'U-DEC', 'KO/TKO', 'DQ', 'SUB', 'SUB', 'KO/TKO']","[('3', '5:00'), ('1', '1:22'), ('3', '5:00'), ('1', '3:22'), ('3', '5:00'), ('3', '2:02'), ('1', '0:29'), ('1', '1:03'), ('1', '4:49'), ('1', '4:59')]"
"['Bantamweight', 'Featherweight', 'Lightweight', 'Welterweight', 'Lightweight', 'Middleweight', 'Heavyweight', 'Bantamweight', 'Welterweight', 'Lightweight']","['KO/TKO', 'SUB', 'SUB', 'U-DEC', 'SUB', 'KO/TKO', 'KO/TKO', 'M-DEC', 'SUB', 'SUB']","[('1', '0:22'), ('1', '1:37'), ('1', '4:03'), ('3', '5:00'), ('3', '2:08'), ('2', '1:31'), ('1', '3:38'), ('3', '5:00'), ('1', '3:04'), ('1', '3:04')]"
"['Middleweight', 'Heavyweight', 'Lightweight', 'Featherweight', 'Featherweight', 'Heavyweight', 'Lightweight', 'Middleweight', 'Middleweight', 'Light Heavyweight']","['SUB', 'KO/TKO', 'U-DEC', 'SUB', 'KO/TKO', 'U-DEC', 'KO/TKO', 'U-DEC', 'U-DEC', 'U-DEC']","[('3', '1:08'), ('1', '4:24'), ('3', '5:00'), ('1', '1:43'), ('2', '2:22'), ('3', '5:00'), ('2', '5:00'), ('3', '5:00'), ('3', '5:00'), ('5', '5:00')]"
"['Welterweight', 'Middleweight', 'Welterweight', 'Welterweight', 'Bantamweight', 'Featherweight', 'Middleweight', 'Bantamweight', 'Welterweight', 'Heavyweight', 'Welterweight']","['KO/TKO', 'U-DEC', 'S-DEC', 'KO/TKO', 'S-DEC', 'SUB', 'SUB', 'U-DEC', 'S-DEC', 'U-DEC', 'U-DEC']","[('1', '4:13'), ('3', '5:00'), ('3', '5:00'), ('2', '1:19'), ('3', '5:00'), ('1', '3:23'), ('2', '1:43'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('5', '5:00')]"
"['Lightweight', 'Lightweight', 'Featherweight', 'Bantamweight', 'Bantamweight', 'Heavyweight', 'Middleweight', 'Heavyweight', 'Welterweight']","['U-DEC', 'U-DEC', 'KO/TKO', 'SUB', 'U-DEC', 'KO/TKO', 'S-DEC', 'KO/TKO', 'U-DEC']","[('3', '5:00'), ('3', '5:00'), ('1', '1:32'), ('1', '3:45'), ('3', '5:00'), ('1', '0:43'), ('3', '5:00'), ('2', '3:52'), ('3', '5:00')]"
"['Featherweight', 'Bantamweight', 'Middleweight', 'Bantamweight', 'Lightweight', 'Lightweight', 'Featherweight', 'Middleweight', 'Welterweight', 'Heavyweight', 'Light Heavyweight', 'Lightweight']","['KO/TKO', 'U-DEC', 'U-DEC', 'SUB', 'KO/TKO', 'KO/TKO', 'U-DEC', 'KO/TKO', 'U-DEC', 'KO/TKO', 'U-DEC', 'U-DEC']","[('2', '0:32'), ('3', '5:00'), ('3', '5:00'), ('1', '4:29'), ('2', '2:21'), ('1', '1:21'), ('3', '5:00'), ('3', '0:54'), ('3', '5:00'), ('1', '2:11'), ('3', '5:00'), ('5', '5:00')]"
"['Heavyweight', 'Featherweight', 'Welterweight', 'Middleweight', 'Featherweight', 'Light Heavyweight', 'Light Heavyweight', 'Middleweight', 'Flyweight', 'Flyweight', 'Welterweight']","['KO/TKO', 'SUB', 'SUB', 'U-DEC', 'U-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC', 'M-DEC', 'KO/TKO', 'SUB']","[('2', '3:53'), ('1', '2:05'), ('1', '0:55'), ('3', '5:00'), ('3', '5:00'), ('1', '4:59'), ('1', '2:08'), ('3', '5:00'), ('3', '5:00'), ('2', '0:11'), ('3', '4:12')]"
"['Featherweight', 'Welterweight', 'Lightweight', 'Middleweight', 'Light Heavyweight', 'Welterweight', 'Bantamweight', 'Welterweight', 'Featherweight', 'Welterweight', 'Middleweight', 'Light Heavyweight']","['U-DEC', 'SUB', 'SUB', 'SUB', 'M-DEC', 'SUB', 'SUB', 'SUB', 'U-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC']","[('3', '5:00'), ('2', '2:36'), ('2', '1:28'), ('2', '1:42'), ('3', '5:00'), ('1', '4:33'), ('2', '4:05'), ('2', '4:40'), ('3', '5:00'), ('1', '0:42'), ('1', '2:26'), ('3', '5:00')]"
"['Featherweight', 'Welterweight', 'Lightweight', 'Lightweight', 'Welterweight', 'Heavyweight', 'Lightweight', 'Featherweight', 'Bantamweight', 'Heavyweight', 'Welterweight', 'Light Heavyweight']","['S-DEC', 'S-DEC', 'U-DEC', 'U-DEC', 'U-DEC', 'SUB', 'U-DEC', 'S-DEC', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'U-DEC']","[('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('1', '2:29'), ('3', '5:00'), ('3', '5:00'), ('1', '3:18'), ('1', '1:10'), ('2', '2:20'), ('5', '5:00')]"
"['Middleweight', 'Bantamweight', 'Featherweight', 'Lightweight', 'Flyweight', 'Welterweight', 'Flyweight', 'Lightweight', 'Heavyweight', 'Middleweight', 'Welterweight', 'Lightweight']","['SUB', 'SUB', 'U-DEC', 'U-DEC', 'SUB', 'U-DEC', 'U-DEC', 'U-DEC', 'KO/TKO', 'KO/TKO', 'S-DEC', 'SUB']","[('2', '1:07'), ('1', '4:59'), ('3', '5:00'), ('3', '5:00'), ('2', '4:54'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('1', '4:38'), ('1', '4:18'), ('3', '5:00'), ('2', '4:09')]"
"['Bantamweight', 'Bantamweight', 'Lightweight', 'Lightweight', 'Lightweight', 'Middleweight', 'Middleweight', 'Light Heavyweight', 'Bantamweight', 'Lightweight', 'Welterweight', 'Featherweight']","['U-DEC', 'U-DEC', 'SUB', 'U-DEC', 'SUB', 'U-DEC', 'KO/TKO', 'U-DEC', 'U-DEC', 'U-DEC', 'S-DEC', 'SUB']","[('3', '5:00'), ('3', '5:00'), ('1', '1:40'), ('3', '5:00'), ('1', '3:05'), ('3', '5:00'), ('1', '0:50'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('4', '1:07')]"
"['Featherweight', 'Light Heavyweight', 'Lightweight', 'Welterweight', 'Middleweight', 'Lightweight', 'Featherweight', 'Heavyweight', 'Heavyweight', 'Heavyweight', 'Heavyweight', 'Heavyweight']","['U-DEC', 'SUB', 'SUB', 'KO/TKO', 'U-DEC', 'KO/TKO', 'U-DEC', 'SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO']","[('3', '5:00'), ('1', '1:53'), ('1', '1:54'), ('1', '3:51'), ('3', '5:00'), ('1', '3:23'), ('3', '5:00'), ('1', '1:05'), ('2', '3:14'), ('1', '0:51'), ('1', '3:36'), ('2', '3:04')]"
"['Bantamweight', 'Lightweight', 'Lightweight', 'Lightweight', 'Lightweight', 'Lightweight', 'Featherweight', 'Featherweight', 'Lightweight', 'Welterweight']","['SUB', 'KO/TKO', 'KO/TKO', 'SUB', 'U-DEC', 'KO/TKO', 'U-DEC', 'SUB', 'SUB', 'KO/TKO']","[('1', '4:18'), ('1', '1:59'), ('2', '2:53'), ('1', '4:03'), ('3', '5:00'), ('3', '0:19'), ('3', '5:00'), ('2', '2:42'), ('1', '2:47'), ('2', '1:40')]"
"['Welterweight', 'Lightweight', 'Middleweight', 'Lightweight', 'Bantamweight', 'Featherweight', 'Welterweight', 'Welterweight', 'Bantamweight', 'Welterweight', 'Welterweight', 'Flyweight']","['U-DEC', 'S-DEC', 'U-DEC', 'KO/TKO', 'SUB', 'U-DEC', 'S-DEC', 'U-DEC', 'KO/TKO', 'KO/TKO', 'SUB', 'U-DEC']","[('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('1', '1:06'), ('1', '3:21'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('2', '4:10'), ('1', '4:56'), ('1', '4:33'), ('3', '5:00')]"
"['Bantamweight', 'Welterweight', 'Welterweight', 'Middleweight', 'Featherweight', 'Welterweight', 'Lightweight', 'Featherweight', 'Featherweight', 'Welterweight', 'Lightweight', 'Lightweight']","['S-DEC', 'SUB', 'KO/TKO', 'KO/TKO', 'SUB', 'U-DEC', 'KO/TKO', 'U-DEC', 'KO/TKO', 'U-DEC', 'U-DEC', 'S-DEC']","[('3', '5:00'), ('3', '3:12'), ('2', '4:20'), ('3', '1:51'), ('1', '2:47'), ('3', '5:00'), ('1', '2:29'), ('3', '5:00'), ('2', '4:14'), ('3', '5:00'), ('3', '5:00'), ('5', '5:00')]"
"['Featherweight', 'Featherweight', 'Middleweight', 'Featherweight', 'Middleweight', 'Featherweight', 'Featherweight', 'Heavyweight', 'Featherweight', 'Middleweight', 'Catch Weight']","['S-DEC', 'KO/TKO', 'KO/TKO', 'S-DEC', 'KO/TKO', 'SUB', 'U-DEC', 'KO/TKO', 'U-DEC', 'U-DEC', 'U-DEC']","[('3', '5:00'), ('3', '1:04'), ('3', '0:41'), ('3', '5:00'), ('1', '4:21'), ('1', '2:12'), ('3', '5:00'), ('1', '2:28'), ('3', '5:00'), ('3', '5:00'), ('5', '5:00')]"
"['Lightweight', 'Lightweight', 'Middleweight', 'Lightweight', 'Lightweight', 'Bantamweight', 'Featherweight', 'Welterweight', 'Middleweight', 'Light Heavyweight', 'Middleweight']","['U-DEC', 'U-DEC', 'U-DEC', 'U-DEC', 'U-DEC', 'U-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC', 'U-DEC', 'KO/TKO']","[('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('1', '0:31'), ('1', '0:47'), ('3', '5:00'), ('3', '5:00'), ('2', '1:55')]"
"['Bantamweight', 'Welterweight', 'Middleweight', 'Flyweight', 'Bantamweight', 'Lightweight', 'Bantamweight', 'Middleweight', 'Welterweight', 'Light Heavyweight', 'Middleweight']","['KO/TKO', 'S-DEC', 'KO/TKO', 'U-DEC', 'SUB', 'U-DEC', 'SUB', 'SUB', 'U-DEC', 'U-DEC', 'KO/TKO']","[('2', '0:25'), ('3', '5:00'), ('2', '4:52'), ('3', '5:00'), ('2', '1:27'), ('3', '5:00'), ('1', '2:33'), ('2', '1:39'), ('3', '5:00'), ('3', '5:00'), ('2', '1:37')]"
"['Lightweight', 'Featherweight', 'Bantamweight', 'Light Heavyweight', 'Bantamweight', 'Middleweight', 'Welterweight', 'Welterweight', 'Heavyweight', 'Middleweight', 'Bantamweight']","['S-DEC', 'KO/TKO', 'SUB', 'KO/TKO', 'Overturned', 'U-DEC', 'Overturned', 'S-DEC', 'U-DEC', 'S-DEC', 'U-DEC']","[('3', '5:00'), ('1', '1:11'), ('3', '1:39'), ('1', '0:07'), ('1', '4:19'), ('3', '5:00'), ('3', '2:02'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('5', '5:00')]"
"['Flyweight', 'Featherweight', 'Heavyweight', 'Featherweight', 'Light Heavyweight', 'Featherweight', 'Welterweight', 'Lightweight', 'Light Heavyweight', 'Light Heavyweight']","['KO/TKO', 'U-DEC', 'SUB', 'SUB', 'CNC', 'S-DEC', 'KO/TKO', 'SUB', 'KO/TKO', 'KO/TKO']","[('1', '3:46'), ('3', '5:00'), ('2', '4:16'), ('1', '3:15'), ('1', '1:28'), ('3', '5:00'), ('2', '1:20'), ('3', '2:44'), ('2', '1:32'), ('4', '4:09')]"
"['Featherweight', 'Bantamweight', 'Bantamweight', 'Middleweight', 'Featherweight', 'Featherweight', 'Middleweight', 'Middleweight', 'Lightweight', 'Lightweight']","['KO/TKO', 'U-DEC', 'KO/TKO', 'KO/TKO', 'SUB', 'KO/TKO', 'KO/TKO', 'Overturned', 'KO/TKO', 'S-DEC']","[('1', '3:45'), ('3', '5:00'), ('1', '0:17'), ('2', '2:16'), ('1', '4:43'), ('2', '4:49'), ('2', '3:05'), ('3', '5:00'), ('1', '1:16'), ('5', '5:00')]"
"['Welterweight', 'Bantamweight', 'Welterweight', 'Featherweight', 'Welterweight', 'Lightweight', 'Light Heavyweight', 'Featherweight', 'Light Heavyweight', 'Middleweight', 'Flyweight', 'Light Heavyweight']","['KO/TKO', 'SUB', 'KO/TKO', 'U-DEC', 'U-DEC', 'U-DEC', 'SUB', 'KO/TKO', 'U-DEC', 'U-DEC', 'S-DEC', 'SUB']","[('1', '0:45'), ('1', '1:09'), ('1', '4:10'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('2', '1:14'), ('1', '2:40'), ('3', '5:00'), ('3', '5:00'), ('5', '5:00'), ('4', '0:54')]"
"['Featherweight', 'Catch Weight', 'Middleweight', 'Featherweight', 'Light Heavyweight', 'Welterweight', 'Welterweight', 'Lightweight', 'Bantamweight', 'Welterweight', 'Heavyweight']","['KO/TKO', 'SUB', 'S-DEC', 'S-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC', 'SUB', 'KO/TKO', 'U-DEC', 'KO/TKO']","[('1', '0:23'), ('1', '3:34'), ('3', '5:00'), ('3', '5:00'), ('2', '5:00'), ('1', '2:28'), ('3', '5:00'), ('1', '3:48'), ('1', '3:40'), ('3', '5:00'), ('2', '3:50')]"
"['Flyweight', 'Featherweight', 'Lightweight', 'Lightweight', 'Welterweight', 'Lightweight', 'Welterweight', 'Flyweight', 'Welterweight', 'Heavyweight']","['SUB', 'U-DEC', 'SUB', 'S-DEC', 'KO/TKO', 'KO/TKO', 'SUB', 'KO/TKO', 'U-DEC', 'KO/TKO']","[('2', '3:38'), ('3', '5:00'), ('1', '2:38'), ('3', '5:00'), ('2', '0:29'), ('2', '1:06'), ('1', '0:45'), ('2', '4:35'), ('3', '5:00'), ('1', '3:27')]"
"['Lightweight', 'Middleweight', 'Welterweight', 'Featherweight', 'Lightweight', 'Featherweight', 'Welterweight', 'Light Heavyweight', 'Welterweight', 'Light Heavyweight', 'Heavyweight', 'Light Heavyweight']","['S-DEC', 'U-DEC', 'SUB', 'U-DEC', 'U-DEC', 'KO/TKO', 'SUB', 'SUB', 'U-DEC', 'KO/TKO', 'SUB', 'KO/TKO']","[('3', '5:00'), ('3', '5:00'), ('3', '3:10'), ('3', '5:00'), ('3', '5:00'), ('2', '4:16'), ('1', '2:30'), ('2', '4:29'), ('3', '5:00'), ('2', '5:00'), ('2', '4:31'), ('1', '4:40')]"
"['Middleweight', 'Flyweight', 'Bantamweight', 'Bantamweight', 'Lightweight', 'Lightweight', 'Welterweight', 'Light Heavyweight', 'Middleweight']","['U-DEC', 'U-DEC', 'S-DEC', 'U-DEC', 'U-DEC', 'S-DEC', 'U-DEC', 'Overturned', 'KO/TKO']","[('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '1:45'), ('1', '2:17')]"
"['Featherweight', 'Bantamweight', 'Welterweight', 'Featherweight', 'Lightweight', 'Light Heavyweight', 'Middleweight', 'Featherweight', 'Lightweight', 'Middleweight', 'Welterweight', 'Welterweight']","['U-DEC', 'SUB', 'U-DEC', 'S-DEC', 'U-DEC', 'SUB', 'DQ', 'U-DEC', 'U-DEC', 'S-DEC', 'KO/TKO', 'U-DEC']","[('3', '5:00'), ('1', '2:44'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('1', '2:24'), ('1', '1:26'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('1', '0:46'), ('5', '5:00')]"
"['Bantamweight', 'Featherweight', 'Lightweight', 'Lightweight', 'Lightweight', 'Bantamweight', 'Lightweight', 'Welterweight', 'Welterweight', 'Light Heavyweight', 'Lightweight']","['SUB', 'U-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC', 'U-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC', 'U-DEC', 'U-DEC']","[('1', '4:59'), ('3', '5:00'), ('2', '3:56'), ('2', '2:57'), ('3', '5:00'), ('3', '5:00'), ('1', '1:55'), ('2', '2:31'), ('3', '5:00'), ('3', '5:00'), ('5', '5:00')]"
"['Light Heavyweight', 'Lightweight', 'Welterweight', 'Welterweight', 'Light Heavyweight', 'Featherweight', 'Middleweight', 'Lightweight', 'Welterweight', 'Lightweight']","['KO/TKO', 'U-DEC', 'KO/TKO', 'U-DEC', 'Overturned', 'KO/TKO', 'KO/TKO', 'U-DEC', 'U-DEC', 'KO/TKO']","[('1', '4:35'), ('3', '5:00'), ('1', '4:57'), ('3', '5:00'), ('3', '5:00'), ('1', '1:55'), ('1', '3:38'), ('3', '5:00'), ('3', '5:00'), ('3', '0:41')]"
"['Flyweight', 'Lightweight', 'Bantamweight', 'Welterweight', 'Lightweight', 'Bantamweight', 'Welterweight', 'Featherweight', 'Heavyweight', 'Welterweight', 'Heavyweight']","['U-DEC', 'SUB', 'KO/TKO', 'SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB', 'KO/TKO', 'U-DEC', 'KO/TKO']","[('3', '5:00'), ('3', '4:11'), ('1', '4:05'), ('2', '1:04'), ('1', '2:15'), ('2', '1:00'), ('1', '1:55'), ('1', '4:15'), ('2', '0:26'), ('3', '5:00'), ('1', '2:58')]"
"['Flyweight', 'Featherweight', 'Heavyweight', 'Lightweight', 'Lightweight', 'Bantamweight', 'Bantamweight', 'Middleweight', 'Middleweight', 'Middleweight', 'Lightweight', 'Heavyweight']","['SUB', 'S-DEC', 'KO/TKO', 'U-DEC', 'S-DEC', 'KO/TKO', 'S-DEC', 'U-DEC', 'U-DEC', 'KO/TKO', 'U-DEC', 'U-DEC']","[('3', '1:11'), ('3', '5:00'), ('1', '2:04'), ('3', '5:00'), ('3', '5:00'), ('1', '3:50'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '2:11'), ('3', '5:00'), ('5', '5:00')]"
"['Lightweight', 'Light Heavyweight', 'Bantamweight', 'Lightweight', 'Featherweight', 'Middleweight', 'Featherweight', 'Lightweight', 'Heavyweight', 'Middleweight', 'Middleweight']","['SUB', 'SUB', 'CNC', 'KO/TKO', 'U-DEC', 'U-DEC', 'S-DEC', 'KO/TKO', 'SUB', 'S-DEC', 'KO/TKO']","[('2', '1:50'), ('2', '2:39'), ('1', '2:11'), ('1', '2:38'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('1', '1:55'), ('2', '1:01'), ('3', '5:00'), ('2', '1:27')]"
"['Welterweight', 'Middleweight', 'Heavyweight', 'Light Heavyweight', 'Welterweight', 'Featherweight', 'Lightweight', 'Featherweight', 'Lightweight', 'Light Heavyweight', 'Flyweight']","['U-DEC', 'SUB', 'KO/TKO', 'SUB', 'U-DEC', 'S-DEC', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'U-DEC', 'U-DEC']","[('3', '5:00'), ('3', '2:13'), ('2', '3:48'), ('1', '0:50'), ('3', '5:00'), ('3', '5:00'), ('1', '4:51'), ('2', '2:32'), ('1', '2:35'), ('3', '5:00'), ('5', '5:00')]"
"['Bantamweight', 'Bantamweight', 'Lightweight', 'Lightweight', 'Welterweight', 'Lightweight', 'Flyweight', 'Welterweight', 'Heavyweight', 'Light Heavyweight', 'Featherweight']","['KO/TKO', 'SUB', 'S-DEC', 'SUB', 'KO/TKO', 'S-DEC', 'U-DEC', 'U-DEC', 'KO/TKO', 'U-DEC', 'U-DEC']","[('2', '4:20'), ('3', '1:50'), ('3', '5:00'), ('3', '4:25'), ('1', '0:36'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '0:25'), ('3', '5:00'), ('5', '5:00')]"
"['Flyweight', 'Bantamweight', 'Middleweight', 'Featherweight', 'Lightweight', 'Lightweight', 'Welterweight', 'Light Heavyweight', 'Welterweight', 'Light Heavyweight', 'Featherweight', 'Bantamweight']","['U-DEC', 'U-DEC', 'KO/TKO', 'U-DEC', 'U-DEC', 'U-DEC', 'Overturned', 'U-DEC', 'U-DEC', 'KO/TKO', 'U-DEC', 'SUB']","[('3', '5:00'), ('3', '5:00'), ('2', '4:42'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('1', '5:00'), ('3', '5:00'), ('4', '3:57')]"
"['Welterweight', 'Welterweight', 'Welterweight', 'Lightweight', 'Featherweight', 'Lightweight', 'Heavyweight', 'Welterweight', 'Welterweight', 'Bantamweight', 'Light Heavyweight', ""Women's Bantamweight""]","['U-DEC', 'U-DEC', 'SUB', 'S-DEC', 'S-DEC', 'SUB', 'U-DEC', 'KO/TKO', 'U-DEC', 'SUB', 'S-DEC', 'SUB']","[('3', '5:00'), ('3', '5:00'), ('1', '2:57'), ('3', '5:00'), ('3', '5:00'), ('2', '2:29'), ('3', '5:00'), ('1', '3:57'), ('3', '5:00'), ('1', '4:34'), ('3', '5:00'), ('1', '4:49')]"
"['Welterweight', 'Bantamweight', 'Lightweight', 'Bantamweight', 'Middleweight', 'Welterweight', 'Featherweight', 'Middleweight', 'Lightweight', 'Heavyweight', 'Light Heavyweight']","['KO/TKO', 'Overturned', 'U-DEC', 'S-DEC', 'U-DEC', 'U-DEC', 'U-DEC', 'S-DEC', 'S-DEC', 'KO/TKO', 'KO/TKO']","[('2', '4:00'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('3', '1:44'), ('2', '4:08')]"
"['Bantamweight', 'Bantamweight', 'Welterweight', 'Lightweight', 'Welterweight', 'Featherweight', 'Welterweight', 'Lightweight', 'Middleweight', 'Welterweight', 'Welterweight', 'Welterweight']","['U-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC', 'U-DEC', 'S-DEC', 'KO/TKO', 'U-DEC', 'U-DEC']","[('3', '5:00'), ('2', '0:26'), ('1', '3:05'), ('3', '5:00'), ('1', '4:42'), ('1', '3:06'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('1', '3:00'), ('3', '5:00'), ('5', '5:00')]"
"['Welterweight', 'Middleweight', 'Welterweight', 'Featherweight', 'Welterweight', 'Middleweight', 'Lightweight', 'Featherweight', 'Featherweight', 'Bantamweight', 'Heavyweight', 'Lightweight', 'Light Heavyweight']","['S-DEC', 'SUB', 'U-DEC', 'KO/TKO', 'U-DEC', 'SUB', 'SUB', 'U-DEC', 'SUB', 'S-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC']","[('3', '5:00'), ('2', '1:05'), ('3', '5:00'), ('1', '1:07'), ('3', '5:00'), ('1', '3:11'), ('3', '1:33'), ('3', '5:00'), ('1', '3:27'), ('3', '5:00'), ('1', '0:19'), ('2', '3:45'), ('3', '5:00')]"
