Weight class,Method,time
"['Lightweight', 'Lightweight', 'Lightweight', 'Lightweight', 'Heavyweight', 'Heavyweight', 'Lightweight', 'Heavyweight', 'Heavyweight']","['KO/TKO', 'KO/TKO', 'U-DEC', 'SUB', 'SUB', 'SUB', 'SUB', 'KO/TKO', 'KO/TKO']","[('1', '0:31'), ('1', '1:23'), ('2', '3:00'), ('1', '1:36'), ('1', '1:30'), ('1', '0:56'), ('1', '2:00'), ('1', '3:13'), ('1', '0:52')]"
"['Lightweight', 'Heavyweight', 'Lightweight', 'Lightweight', 'Heavyweight', 'Heavyweight', 'Lightweight', 'Heavyweight', 'Heavyweight']","['SUB', 'SUB', 'U-DEC', 'KO/TKO', 'KO/TKO', 'SUB', 'SUB', 'SUB', 'U-DEC']","[('1', '1:31'), ('1', '2:30'), ('2', '3:00'), ('1', '1:27'), ('1', '2:22'), ('1', '2:10'), ('1', '0:44'), ('1', '1:38'), ('3', '3:00')]"
"['Heavyweight', 'Heavyweight', 'Heavyweight', 'Heavyweight', 'Heavyweight', 'Heavyweight', 'Heavyweight']","['S-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC', 'KO/TKO', 'SUB', 'SUB']","[('1', '12:00'), ('1', '3:43'), ('1', '0:17'), ('2', '3:00'), ('1', '8:16'), ('1', '0:53'), ('1', '8:08')]"
"['Heavyweight', 'Heavyweight', 'Heavyweight', 'Lightweight', 'Heavyweight', 'Heavyweight', 'Heavyweight']","['SUB', 'U-DEC', 'Overturned', 'SUB', 'SUB', 'SUB', 'M-DEC']","[('1', '10:05'), ('2', '3:00'), ('1', '1:51'), ('1', '0:16'), ('1', '4:03'), ('1', '3:44'), ('3', '3:00')]"
"['Lightweight', 'Lightweight', 'Lightweight', 'Lightweight', 'Middleweight', 'Lightweight', 'Heavyweight', 'Middleweight']","['KO/TKO', 'SUB', 'KO/TKO', 'S-DEC', 'SUB', 'SUB', 'U-DEC', 'KO/TKO']","[('1', '1:15'), ('1', '1:20'), ('1', '9:45'), ('2', '3:00'), ('1', '10:23'), ('1', '9:02'), ('2', '3:00'), ('1', '0:22')]"
"['Middleweight', 'Heavyweight', 'Middleweight', 'Middleweight', 'Heavyweight', 'Heavyweight', 'Middleweight', 'Heavyweight', 'Middleweight']","['U-DEC', 'U-DEC', 'U-DEC', 'SUB', 'SUB', 'KO/TKO', 'S-DEC', 'KO/TKO', 'SUB']","[('1', '12:00'), ('2', '3:00'), ('2', '3:00'), ('1', '0:52'), ('1', '11:01'), ('1', '0:43'), ('2', '3:00'), ('2', '0:38'), ('2', '1:28')]"
"['Lightweight', 'Middleweight', 'Middleweight', 'Heavyweight', 'Lightweight', 'Heavyweight', 'Middleweight', 'Middleweight']","['KO/TKO', 'KO/TKO', 'SUB', 'U-DEC', 'S-DEC', 'KO/TKO', 'KO/TKO', 'SUB']","[('1', '10:27'), ('1', '9:00'), ('1', '3:27'), ('2', '3:00'), ('3', '3:00'), ('1', '8:07'), ('1', '0:44'), ('1', '7:40')]"
"['Lightweight', 'Middleweight', 'Lightweight', 'Middleweight', 'Heavyweight', 'Lightweight', 'Heavyweight']","['KO/TKO', 'SUB', 'U-DEC', 'KO/TKO', 'S-DEC', 'U-DEC', 'KO/TKO']","[('1', '6:52'), ('1', '7:57'), ('2', '3:00'), ('2', '2:31'), ('2', '3:00'), ('3', '3:00'), ('2', '2:15')]"
"['Heavyweight', 'Heavyweight', 'Middleweight', 'Heavyweight', 'Middleweight', 'Heavyweight', 'Middleweight']","['KO/TKO', 'SUB', 'KO/TKO', 'U-DEC', 'SUB', 'KO/TKO', 'KO/TKO']","[('1', '10:01'), ('1', '1:56'), ('1', '2:58'), ('2', '3:00'), ('1', '12:00'), ('1', '0:43'), ('1', '9:56')]"
"['Heavyweight', 'Lightweight', 'Lightweight', 'Middleweight', 'Heavyweight', 'Heavyweight', 'Heavyweight']","['KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB', 'KO/TKO', 'S-DEC']","[('1', '0:28'), ('1', '1:21'), ('1', '1:23'), ('1', '2:53'), ('1', '6:28'), ('1', '4:30'), ('3', '3:00')]"
"['Heavyweight', 'Heavyweight', 'Middleweight', 'Heavyweight', 'Middleweight', 'Middleweight', 'Lightweight', 'Heavyweight']","['U-DEC', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO']","[('2', '5:00'), ('1', '2:51'), ('2', '1:19'), ('2', '5:00'), ('1', '4:20'), ('1', '4:41'), ('2', '1:34'), ('1', '5:00')]"
"['Lightweight', 'Middleweight', 'Lightweight', 'Middleweight', 'Heavyweight', 'Heavyweight', 'Heavyweight', 'Middleweight']","['M-DEC', 'KO/TKO', 'U-DEC', 'KO/TKO', 'KO/TKO', 'SUB', 'U-DEC', 'KO/TKO']","[('2', '5:00'), ('3', '0:13'), ('3', '5:00'), ('1', '3:53'), ('1', '0:30'), ('1', '2:08'), ('3', '5:00'), ('4', '4:42')]"
"['Open Weight', 'Open Weight', 'Middleweight', 'Middleweight', 'Open Weight', 'Heavyweight', 'Heavyweight']","['KO/TKO', 'U-DEC', 'KO/TKO', 'KO/TKO', 'SUB', 'KO/TKO', 'U-DEC']","[('2', '3:12'), ('3', '5:00'), ('3', '3:12'), ('1', '1:28'), ('2', '4:15'), ('3', '1:17'), ('5', '5:00')]"
"['Lightweight', 'Heavyweight', 'Lightweight', 'Lightweight', 'Lightweight', 'Middleweight', 'Heavyweight']","['U-DEC', 'SUB', 'KO/TKO', 'SUB', 'U-DEC', 'KO/TKO', 'KO/TKO']","[('2', '5:00'), ('1', '3:09'), ('2', '2:41'), ('2', '1:29'), ('3', '5:00'), ('3', '3:35'), ('1', '3:23')]"
"['Lightweight', 'Middleweight', 'Heavyweight', 'Middleweight', 'Middleweight', 'Middleweight']","['M-DEC', 'KO/TKO', 'U-DEC', 'SUB', 'SUB', 'U-DEC']","[('3', '5:00'), ('3', '1:54'), ('3', '5:00'), ('1', '4:38'), ('2', '0:31'), ('5', '5:00')]"
"['Welterweight', 'Heavyweight', 'Lightweight', 'Welterweight', 'Middleweight', 'Welterweight', 'Middleweight', 'Heavyweight']","['U-DEC', 'KO/TKO', 'U-DEC', 'KO/TKO', 'DQ', 'SUB', 'U-DEC', 'U-DEC']","[('2', '5:00'), ('2', '2:13'), ('3', '5:00'), ('1', '4:34'), ('2', '0:43'), ('2', '1:43'), ('3', '5:00'), ('5', '5:00')]"
"['Welterweight', 'Heavyweight', 'Heavyweight', 'Middleweight', 'Welterweight', 'Middleweight', 'Heavyweight', 'Heavyweight']","['U-DEC', 'U-DEC', 'U-DEC', 'KO/TKO', 'SUB', 'SUB', 'S-DEC', 'KO/TKO']","[('2', '5:00'), ('2', '5:00'), ('3', '5:00'), ('3', '2:28'), ('1', '1:10'), ('1', '4:32'), ('3', '5:00'), ('1', '1:33')]"
"['Welterweight', 'Middleweight', 'Lightweight', 'Heavyweight', 'Heavyweight', 'Heavyweight']","['U-DEC', 'U-DEC', 'KO/TKO', 'SUB', 'KO/TKO', 'M-DEC', 'KO/TKO']","[('2', '5:00'), ('1', '0:15'), ('1', '0:55'), ('2', '4:34'), ('3', '5:00'), ('3', '4:13')]"
"['Middleweight', 'Welterweight', 'Middleweight', 'Welterweight', 'Middleweight', 'Welterweight', 'Middleweight']","['U-DEC', 'SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB', 'SUB']","[('3', '5:00'), ('1', '0:20'), ('1', '4:58'), ('1', '2:24'), ('1', '2:58'), ('2', '1:58'), ('1', '1:52')]"
"['Welterweight', 'Middleweight', 'Heavyweight', 'Heavyweight', 'Middleweight', 'Welterweight', 'Lightweight', 'Middleweight']","['SUB', 'U-DEC', 'Overturned', 'KO/TKO', 'SUB', 'SUB', 'U-DEC', 'KO/TKO']","[('2', '4:47'), ('2', '5:00'), ('1', '3:27'), ('2', '4:21'), ('1', '2:52'), ('1', '1:40'), ('5', '5:00'), ('1', '0:32')]"
"['Welterweight', 'Lightweight', 'Light Heavyweight', 'Heavyweight', 'Welterweight', 'Light Heavyweight', 'Welterweight', 'Heavyweight']","['U-DEC', 'KO/TKO', 'DQ', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB', 'U-DEC']","[('3', '5:00'), ('1', '4:57'), ('3', '4:21'), ('2', '1:28'), ('3', '4:51'), ('1', '1:18'), ('3', '2:50'), ('5', '5:00')]"
"['Welterweight', 'Heavyweight', 'Light Heavyweight', 'Lightweight', 'Welterweight', 'Heavyweight', 'Lightweight', 'Light Heavyweight']","['SUB', 'KO/TKO', 'U-DEC', 'KO/TKO', 'KO/TKO', 'SUB', 'KO/TKO', 'KO/TKO']","[('1', '1:05'), ('3', '1:23'), ('3', '5:00'), ('1', '1:48'), ('2', '2:42'), ('1', '4:21'), ('1', '2:42'), ('1', '3:32')]"
"['Lightweight', 'Middleweight', 'Welterweight', 'Middleweight', 'Welterweight', 'Light Heavyweight', 'Lightweight', 'Light Heavyweight']","['U-DEC', 'SUB', 'KO/TKO', 'U-DEC', 'M-DEC', 'U-DEC', 'U-DEC', 'U-DEC']","[('3', '5:00'), ('1', '4:06'), ('2', '0:15'), ('5', '5:00'), ('3', '5:00'), ('3', '5:00'), ('5', '5:00'), ('5', '5:00')]"
