Fighter,Peak Elo,Year Achieved,UFC Record,Avg. Opp. Elo
Brett Johns,146.644,2017,5-2-0,119.321
Alexander Hernandez,146.636,2019,6-5-0,158.396
Phil Hawes,146.634,2021,4-3-0,108.704
Magnus Cedenblad,146.609,2016,4-2-0,100.572
Joaquim Silva,146.595,2017,5-3-0,102.688
Eliot Marshall,146.566,2009,3-3-0,112.259
Tom Breese,146.540,2018,5-3-0,121.664
Jeremy Kennedy,146.533,2017,3-1-0,115.194
Paige VanZant,146.530,2015,5-4-0,112.361
Dan Miller,146.466,2009,6-7-0,109.254
Roland Delorme,146.406,2013,3-3-0,102.091
Bruno Silva,146.390,2021,4-2-0,123.017
Nick Diaz,146.352,2011,7-7-0,145.890
Kennedy Nzechukwu,146.240,2023,6-3-0,106.584
Abdul Razak Alhassan,146.220,2018,6-5-0,102.725
Alonzo Menifield,146.192,2022,6-3-1,113.637
Dean Lister,146.078,2008,4-2-0,122.488
Joshua Burkman,146.039,2007,6-12-0,120.242
Brad Blackburn,146.008,2009,3-2-0,103.655
Kiichi Kunimoto,146.002,2014,3-2-0,113.073
Billy Quarantillo,145.957,2020,5-3-0,122.973
Viviane Araujo,145.927,2022,5-4-0,123.966
Valerie Letourneau,145.896,2015,3-3-0,112.977
Nick Hein,145.885,2016,4-4-0,97.409
David Dvorak,145.876,2021,3-3-0,110.717
Bethe Correia,145.860,2014,5-6-1,109.540
Natalia Silva,145.832,2023,3-0-0,100.450
Justin Ledet,145.828,2017,3-4-0,100.414
Gerald Harris,145.828,2010,3-1-0,100.000
Jake O'Brien,145.828,2007,4-3-0,117.698
Shonie Carter,145.828,2001,3-3-0,113.317
Tatsuro Taira,145.826,2023,3-0-0,99.986
Josiane Nunes,145.646,2023,3-0-0,99.392
Zubaira Tukhugov,145.609,2021,5-3-1,112.086
Jason Lambert,145.579,2007,4-4-0,111.101
Amir Sadollah,145.501,2011,6-5-0,103.539
Michal Oleksiejczuk,145.450,2022,6-4-0,114.222
Roosevelt Roberts,145.425,2020,4-3-0,109.462
Bryan Battle,145.317,2022,4-1-0,101.209
Youssef Zalal,145.307,2020,3-3-1,95.638
Rogerio Nogueira,145.258,2013,6-7-0,156.877
Nasrat Haqparast,145.158,2021,6-4-0,117.300
Gabriel Benitez,145.117,2018,7-6-0,107.678
Court McGee,144.836,2011,10-11-0,110.874
Manny Bermudez,144.767,2019,3-2-0,95.926
Robert Peralta,144.650,2014,4-3-0,114.044
Marc Diakiese,144.627,2017,7-6-0,100.599
Nicolae Negumereanu,144.625,2022,4-2-0,94.590
Maryna Moroz,144.605,2022,6-4-0,104.258
Maurice Greene,144.569,2019,4-4-0,102.762
Martin Buday,144.525,2023,3-0-0,90.403
Marco Polo Reyes,144.488,2018,4-4-0,104.908
Marion Reneau,144.437,2018,5-7-1,111.144
Jeff Molina,144.400,2022,3-0-0,89.465
Alatengheili,144.246,2022,4-1-1,102.007
Mayra Bueno Silva,144.146,2023,5-2-1,103.858
Ben Nguyen,144.065,2017,4-3-0,108.621
Antonio Rodrigo Nogueira,144.021,2012,5-6-0,153.790
Patrick Cote,143.989,2016,10-11-0,127.786
Daron Cruickshank,143.869,2014,6-6-0,108.459
Danny Roberts,143.374,2018,7-6-0,121.693
Paulo Thiago,143.243,2010,5-8-0,137.284
Luana Pinheiro,142.937,2023,3-0-0,77.214
Molly McCann,142.693,2022,6-4-0,101.503
Song Kenan,142.557,2020,4-3-0,99.442
Erick Silva,142.400,2015,7-8-0,131.517
Loma Lookboonmee,141.704,2023,5-2-0,94.531
Thiago Moises,141.631,2023,6-4-0,131.738
Nicolas Dalby,140.332,2023,5-3-1,121.706
Ricardo Almeida,140.145,2010,6-5-0,121.750
Jorge Rivera,139.798,2010,8-7-0,114.129
Jeremy Horn,138.927,2006,6-7-0,120.716
Matt Frevola,138.271,2023,5-3-1,120.165
Aleksei Kunchenko,138.027,2018,2-2-0,174.098
Matt Serra,137.825,2007,7-7-0,128.065
Yana Santos,137.814,2021,4-4-0,126.446
Stephan Bonnar,137.788,2011,8-7-0,131.750
Ian Heinisch,137.748,2019,3-4-0,154.228
Virna Jandiroba,137.629,2023,5-3-0,121.612
Paul Daley,137.151,2010,2-1-0,177.589
Jordan Mein,137.133,2014,5-4-0,130.346
Matt Schnell,136.838,2019,6-5-0,120.343
Sean Pierson,136.785,2013,4-2-0,124.307
Maurice Smith,136.776,2000,4-3-0,129.864
Kevin Randleman,136.623,2000,4-3-0,135.695
Pannie Kianzad,136.412,2021,5-3-0,113.301
Siyar Bahadurzada,136.159,2018,4-4-0,120.795
Murilo Bustamante,136.151,2002,3-1-0,131.143
Rich Clementi,135.884,2008,5-5-0,105.409
Nate Landwehr,135.827,2023,4-3-0,118.969
Josh Thomson,135.791,2013,3-4-0,157.415
Charlie Brenneman,135.769,2011,4-7-0,117.673
Alessio Sakara,135.743,2010,6-8-0,103.458
Patrick Smith,135.695,1995,4-2-0,122.938
Alex Garcia,135.297,2016,5-5-0,130.234
Ignacio Bahamondes,134.971,2023,3-1-0,118.709
Tatsuya Kawajiri,134.961,2015,3-3-0,137.734
Karl Roberson,134.950,2019,4-6-0,119.131
Kevin Aguilar,134.929,2019,2-4-0,122.198
Andre Ewell,134.818,2020,4-5-0,116.565
Douglas Silva de Andrade,134.817,2023,7-5-0,114.182
Chris Lytle,134.808,2010,10-10-0,120.324
Jeff Monson,134.753,2006,4-3-0,123.077
Marcio Cruz,134.653,2006,2-2-0,130.914
Ivan Salaverry,134.574,2005,3-4-0,111.401
Vitor Miranda,134.484,2016,3-4-0,109.418
Luis Pena,134.380,2019,5-3-0,110.726
Pete Williams,134.215,1999,3-5-0,115.680
Khama Worthy,134.136,2020,2-3-0,104.502
Paul Kelly,134.077,2009,5-4-0,108.204
Antoni Hardonk,134.076,2008,4-4-0,114.790
Ian Freeman,134.041,2002,3-2-1,105.331
Khalil Rountree Jr.,133.986,2022,7-5-0,101.730
Yves Jabouin,133.981,2012,5-5-0,101.853
Patrick Cummins,133.976,2014,6-7-0,118.048
Sara McMann,133.948,2017,7-6-0,120.034
Andrew Craig,133.900,2013,3-4-0,122.036
Daniel Roberts,133.865,2011,3-4-0,116.245
Duane Ludwig,133.859,2011,4-5-0,114.146
Lucas Martins,133.721,2014,4-3-0,118.576
Sabina Mazo,133.687,2020,3-4-0,105.730
Greg Hardy,133.576,2020,4-5-0,114.478
Ivan Menjivar,133.497,2012,4-5-0,106.203
Mike Davis,133.480,2022,3-1-0,110.046
Herbert Burns,133.460,2020,2-2-0,108.430
Bas Rutten,133.440,1999,2-0-0,124.409
Saidyokub Kakhramonov,133.439,2022,2-1-0,137.441
Scott Ferrozzo,133.425,1997,3-2-0,110.010
Nick Osipczak,133.403,2009,2-3-0,110.115
William Knight,133.393,2021,3-4-0,103.033
Luiz Cane,133.380,2009,4-5-0,110.266
Efrain Escudero,133.347,2009,5-7-0,109.101
TJ Waldburger,133.289,2012,4-4-0,123.853
Nina Nunes,133.266,2018,5-4-0,113.411
Tomasz Drwal,133.254,2009,3-3-0,107.999
Remco Pardoel,133.204,1995,3-2-0,121.533
Houston Alexander,133.204,2007,2-4-0,110.463
Magomed Mustafaev,133.180,2019,3-2-0,121.714
Eryk Anders,133.096,2018,7-8-0,123.475
Phil Rowe,133.071,2022,3-1-0,105.710
Josh Culibao,133.020,2023,3-1-1,101.923
Laureano Staropoli,132.990,2019,2-4-0,110.391
Miranda Maverick,132.905,2021,4-3-0,109.067
Daniel Omielanczuk,132.868,2016,4-5-0,110.802
Adlan Amagov,132.791,2013,2-0-0,116.598
Paul Buentello,132.767,2006,3-3-0,122.633
George Sullivan,132.764,2014,3-4-0,114.640
Hyun Gyu Lim,132.721,2013,3-4-0,113.399
Cat Zingano,132.704,2014,3-4-0,130.733
Guangyou Ning,132.702,2015,2-2-0,107.648
Michael Morales,132.692,2022,2-0-0,116.298
Rinat Fakhretdinov,132.647,2022,2-0-0,114.688
Todd Duffee,132.640,2014,3-2-0,114.493
Kevin Burns,132.628,2008,2-3-0,98.730
Gadzhimurad Antigulov,132.613,2017,2-4-0,106.754
Igor Araujo,132.608,2014,2-2-0,115.683
Russell Doane,132.600,2014,3-5-0,118.480
Timur Valiev,132.581,2021,2-1-0,121.329
Cody Durden,132.572,2023,4-2-1,97.819
Viviane Pereira,132.547,2017,2-2-0,114.464
Tony Gravely,132.439,2022,4-4-0,106.369
Vanessa Demopoulos,132.357,2022,3-2-0,103.521
Devin Clark,132.329,2020,8-8-0,112.619
Andrew Sanchez,132.304,2016,5-5-0,107.400
Ottman Azaitar,132.195,2020,2-1-0,107.216
John Maguire,132.132,2012,2-3-0,119.172
Aiemann Zahabi,132.124,2023,4-2-0,103.186
Terrance McKinney,132.101,2022,3-2-0,108.174
Tom Lawlor,132.068,2009,6-5-0,109.283
Ramsey Nijem,132.045,2012,5-5-0,105.059
Tabatha Ricci,132.030,2023,3-1-0,101.043
Nick Maximov,132.029,2022,2-2-0,112.371
Diego Rivas,132.026,2016,2-2-0,104.486
Soa Palelei,132.019,2014,4-3-0,98.303
Joanne Wood,132.003,2016,8-8-0,115.345
Michael Trizano,132.000,2018,4-3-0,111.891
Daniel Pineda,132.000,2012,5-6-0,114.685
Johnny Bedford,132.000,2012,2-3-0,110.603
Erik Koch,132.000,2011,5-5-0,110.775
Brian Bowles,132.000,2011,2-2-0,97.475
Jess Liaudin,132.000,2007,2-3-0,107.177
Kevin Jackson,132.000,1997,2-2-0,115.640
Gary Goodridge,132.000,1996,4-4-0,118.785
Dave Beneteau,132.000,1995,3-3-0,119.423
Gerard Gordeau,132.000,1993,2-1-0,116.000
Paul Varelans,131.998,1995,4-4-0,111.055
Phillip Miller,131.995,2002,2-0-0,107.948
Carlston Harris,131.974,2021,3-1-0,106.689
Jasmine Jasudavicius,131.968,2023,3-1-0,107.442
Michael Graves,131.968,2016,2-0-1,110.434
Henrique da Silva,131.968,2016,2-4-0,100.348
Steve Jennum,131.966,1994,2-1-0,110.680
Brandon Thatch,131.960,2013,2-4-0,123.590
Devonte Smith,131.947,2019,3-3-0,94.780
Chris Holdsworth,131.937,2014,2-0-0,107.314
William Gomis,131.936,2023,2-0-0,107.302
Brock Larson,131.934,2009,3-3-0,97.216
Omar Morales,131.924,2020,3-4-0,108.532
Phil Baroni,131.875,2002,3-7-0,122.666
Jordan Leavitt,131.873,2022,4-2-0,110.474
Jessica-Rose Clark,131.866,2018,4-5-0,87.237
Tsuyoshi Kohsaka,131.864,1998,3-3-0,118.147
Zach Makovsky,131.836,2014,3-4-0,125.208
Cameron Saaiman,131.834,2023,2-0-0,106.197
Arjan Bhullar,131.817,2019,3-1-0,106.941
Punahele Soriano,131.806,2021,3-3-0,107.240
Hatsu Hioki,131.561,2012,3-5-0,119.167
Jason Saggo,131.405,2016,3-3-0,118.466
Tyson Pedro,131.365,2017,5-4-0,99.868
Loopy Godinez,131.352,2023,5-3-0,98.605
Carlos Felipe,131.312,2021,3-2-0,107.441
Joe Proctor,131.307,2014,4-4-0,102.010
Rodolfo Vieira,131.302,2020,4-2-0,101.078
Mac Danzig,131.302,2008,5-8-0,113.329
Kendall Grove,131.300,2007,6-6-0,109.811
Hugo Viana,131.298,2012,3-3-0,102.778
Fredy Serrano,131.296,2015,2-2-0,93.216
Jason Brilz,131.295,2009,3-4-0,120.189
Poliana Botelho,131.294,2018,3-4-0,109.362
Nicholas Musoke,131.291,2014,3-3-0,108.658
Kenichi Yamamoto,131.274,1999,2-1-0,128.801
Lavar Johnson,131.270,2012,2-2-0,118.027
Mohammed Usman,131.264,2023,2-0-0,100.000
Melsik Baghdasaryan,131.264,2021,2-1-0,105.444
Don Madge,131.264,2019,2-0-0,100.000
Nad Narimani,131.264,2018,2-2-0,111.632
Danny Henry,131.264,2018,2-2-0,114.395
Chris Beal,131.264,2014,2-3-0,91.285
Zhang Lipeng,131.264,2014,2-2-0,99.816
Royston Wee,131.264,2014,2-1-0,105.333
Nick Ring,131.264,2011,3-3-0,115.023
Pablo Garza,131.264,2011,3-3-0,104.473
Rich Attonito,131.264,2010,3-2-0,104.128
David Heath,131.264,2006,2-3-0,107.521
Tony DeSouza,131.264,2001,2-3-0,100.701
Mike van Arsdale,131.264,2005,2-2-0,130.700
Steve Nelmark,131.264,1996,2-1-0,110.587
Joel Sutton,131.264,1995,2-0-0,100.000
Keith Hackney,131.264,1994,2-2-0,143.531
Johnny Rhodes,131.264,1994,2-1-0,105.813
Jason DeLucia,131.264,1994,2-2-0,115.451
Taylor Lapilus,131.252,2015,3-1-0,107.035
Joe Pyfer,131.224,2023,2-0-0,98.374
Ronnie Lawrence,131.207,2022,2-1-0,104.925
Melissa Gatto,131.191,2021,2-1-0,114.221
Karine Silva,131.180,2023,2-0-0,99.043
Hector Lombard,131.082,2014,3-8-0,153.079
Brad Katona,131.034,2018,2-2-0,94.746
Francisco Rivera,130.985,2013,4-6-0,119.328
Chidi Njokuani,130.775,2022,2-2-0,105.173
Dylan Andrews,130.700,2013,2-3-0,94.081
Ildemar Alcantara,130.685,2013,4-3-0,92.338
Shane Nelson,130.658,2009,2-2-0,92.751
Miles Johns,130.657,2021,4-2-0,99.411
Jennifer Maia,130.628,2023,6-5-0,135.548
Dave Menne,130.624,2001,2-4-0,105.764
Rob Emerson,130.607,2008,3-3-0,93.965
Trevor Prangley,130.606,2005,2-2-0,94.172
Rogerio Bontorin,130.598,2019,2-3-0,114.187
Eddie Sanchez,130.594,2007,3-3-0,100.473
Rodrigo Damm,130.582,2014,3-4-0,106.631
Pingyuan Liu,130.582,2018,2-2-0,106.906
Tagir Ulanbekov,130.561,2021,3-1-0,95.328
Darren Uyenoyama,130.561,2012,2-2-0,106.766
Eugene Jackson,130.561,1999,3-4-0,98.361
Mark Hall,130.532,1996,4-3-0,116.319
Julio Arce,130.530,2018,5-4-0,114.046
Justine Kish,130.529,2016,3-4-0,102.093
Alex Hunter,130.529,1997,2-0-0,91.632
Tanner Boser,130.506,2020,4-5-0,108.273
Oskar Piechota,130.503,2018,2-3-0,94.861
Scott Jorgensen,130.502,2011,4-8-0,97.653
Joey Beltran,130.498,2010,3-6-0,103.638
Cory McKenna,130.406,2022,3-1-0,98.907
Francimar Barroso,130.151,2016,4-4-0,101.035
Piera Rodriguez,130.119,2022,2-1-0,102.766
Adam Wieczorek,130.076,2018,2-1-0,94.611
Sijara Eubanks,130.019,2018,5-5-0,107.500
Bea Malecki,129.992,2020,2-1-0,90.723
Livinha Souza,129.955,2019,3-3-0,83.765
Viscardi Andrade,129.949,2016,3-1-0,96.142
Juan Espino,129.835,2020,2-1-0,100.418
Jimy Hettes,129.783,2011,3-3-0,112.824
Yazmin Jauregui,129.744,2022,2-0-0,83.346
Luana Carolina,129.438,2021,3-3-0,94.413
Aleksandra Albu,129.212,2017,2-2-0,88.880
Julia Avila,129.202,2020,3-1-0,83.960
David Branch,129.202,2018,4-5-0,141.820
Justin Scoggins,129.197,2016,4-5-0,99.629
Paddy Holohan,129.181,2015,3-2-0,100.443
Sumudaerji,129.132,2021,3-2-0,90.986
Batgerel Danaa,128.960,2021,3-4-0,105.485
Joselyne Edwards,128.863,2023,4-2-0,91.115
Parker Porter,128.803,2022,4-3-0,90.155
Felipe Arantes,128.774,2016,5-6-1,107.135
Danilo Marques,128.678,2021,2-2-0,89.382
Teruto Ishihara,128.675,2016,3-5-1,102.990
Shayilan Nuerdanbieke,128.396,2022,3-2-0,83.497
Julian Marquez,128.204,2021,3-3-0,89.382
Desmond Green,128.137,2019,4-3-0,142.826
Cyrille Diabate,128.098,2012,4-4-0,94.749
Max Griffin,127.796,2022,7-7-0,137.234
Sean Woodson,127.338,2022,3-1-1,86.727
Karl Williams,127.310,2023,2-0-0,55.786
Julian Erosa,127.081,2022,6-7-0,111.646
Sam Stout,127.056,2012,9-11-0,113.826
Davey Grant,126.616,2023,6-5-0,116.878
Waldo Cortes-Acosta,126.005,2022,2-1-0,75.508
Lorenz Larkin,125.702,2016,5-5-0,146.368
Hacran Dias,125.552,2015,3-5-0,137.554
Kenny Robertson,124.821,2015,4-5-0,116.930
Blagoy Ivanov,124.714,2019,3-4-0,164.207
Jamie Varner,124.012,2012,3-6-0,126.848
Antonio Silva,123.949,2013,3-7-1,152.591
Darren Stewart,123.818,2020,5-7-0,106.893
Ion Cutelaba,123.784,2019,6-8-1,122.757
Damir Hadzovic,123.360,2019,4-5-0,120.235
Tarec Saffiedine,122.954,2016,2-4-0,179.582
Rafa Garcia,122.909,2023,4-3-0,112.518
Igor Pokrajac,122.648,2012,4-8-0,98.371
Trevor Smith,122.612,2016,5-7-0,121.687
KJ Noons,122.454,2014,2-3-0,121.704
Ricky Glenn,122.362,2021,4-4-1,126.072
Lyman Good,122.361,2019,3-3-0,141.120
David Terrell,122.272,2006,2-1-0,154.666
Manel Kape,122.223,2022,3-2-0,117.608
Jason MacDonald,122.045,2007,5-8-0,122.166
Bill Algeo,121.999,2022,4-3-0,118.921
Joe Riggs,121.983,2006,5-7-0,124.612
Caol Uno,121.948,2003,3-5-2,124.951
Jamie Mullarkey,121.871,2023,4-4-0,108.310
Raulian Paiva,121.478,2021,3-4-0,117.374
Christos Giagos,121.272,2021,6-6-0,110.576
Godofredo Pepey,121.269,2016,5-6-0,112.976
Ben Askren,121.159,2019,1-2-0,210.128
Matthew Lopez,121.151,2017,2-4-0,146.404
Ismail Naurdiev,121.118,2019,2-2-0,138.480
Fabio Maldonado,121.001,2014,5-6-0,114.757
Fabiano Iha,120.900,2001,3-4-0,104.308
Liz Carmouche,120.838,2019,5-5-0,109.625
Philipe Lins,120.818,2023,3-2-0,110.371
Victor Henry,120.775,2023,2-1-0,142.358
Frank Trigg,120.560,2004,2-5-0,145.945
Carlos Newton,120.499,2001,3-4-0,127.108
Maximo Blanco,120.482,2015,4-5-0,107.459
Zak Ottow,120.463,2018,4-4-0,122.882
Mirko Filipovic,120.131,2010,5-6-0,121.127
Michael Chandler,119.905,2021,2-3-0,225.831
James Head,119.754,2012,2-3-0,117.072
Jacob Malkoun,119.737,2022,3-2-0,117.409
Sergey Khandozhko,119.439,2022,2-1-0,131.654
Charles Jourdain,119.425,2022,5-5-1,112.050
Falaniko Vitale,119.393,2003,1-1-0,165.111
Cung Le,119.327,2012,2-2-0,135.548
Chance Rencountre,119.314,2019,2-2-0,116.540
Steve Garcia,119.288,2023,3-2-0,108.814
Brad Pickett,119.245,2014,5-9-0,114.710
Diego Nunes,119.209,2012,3-3-0,127.527
Mounir Lazzez,119.103,2022,2-2-0,122.267
John Castaneda,119.074,2022,3-2-0,107.756
Dwight Grant,119.047,2019,3-5-0,117.278
Andre Fialho,119.038,2022,2-4-0,132.606
Drew Fickett,118.912,2007,4-3-0,113.352
Tamdan McCrory,118.842,2015,4-5-0,120.160
Yoshiyuki Yoshida,118.834,2009,2-3-0,119.366
Sheymon Moraes,118.775,2018,2-3-0,119.707
Sam Sicilia,118.770,2015,5-7-0,105.208
Lina Lansberg,118.738,2019,4-7-0,110.342
Leandro Silva,118.720,2015,3-4-0,106.930
SeungWoo Choi,118.700,2021,3-5-0,106.547
James Irvin,118.699,2008,4-6-0,110.691
Brian Johnston,118.626,1996,2-4-0,131.365
Gan McGee,118.624,2003,2-2-0,120.148
Will Brooks,118.556,2016,1-3-0,150.164
Darrick Minner,118.416,2021,2-4-0,128.884
Eric Spicely,118.382,2017,2-5-0,105.732
Bruno Bulldog,118.322,2023,3-2-0,98.705
Luigi Fioravanti,118.320,2006,4-5-0,120.815
Ryan Jimmo,118.305,2014,3-4-0,119.028
Isaac Vallie-Flagg,118.224,2013,1-3-0,129.978
Benoit Saint Denis,118.224,2022,2-1-0,112.901
Goran Reljic,118.222,2008,1-3-0,125.597
Christian Rodriguez,118.179,2023,2-1-0,111.272
Brunno Ferreira,118.177,2023,1-0-0,147.578
DaMarques Johnson,118.169,2011,4-6-0,116.411
Kalib Starnes,118.168,2007,2-3-0,122.292
Daniel Santos,118.163,2023,2-1-0,111.318
Gian Villante,118.149,2015,7-11-0,110.267
Jack Marshman,118.134,2016,3-5-0,121.440
Jonathan Goulet,118.127,2008,4-5-0,121.624
Maiquel Falcao,118.098,2010,1-0-0,145.828
Elves Brener,118.088,2023,1-0-0,145.609
Allan Nascimento,118.078,2023,2-1-0,110.421
Khalid Murtazaliev,118.072,2018,1-0-0,145.239
Andrew Holbrook,118.026,2016,2-3-0,106.452
Emily Whitmire,117.987,2019,2-4-0,93.536
Takashi Sato,117.963,2020,2-5-0,122.470
Tom Niinimaki,117.947,2013,1-3-0,106.623
Stephanie Egger,117.907,2022,3-3-0,106.920
Hector Sandoval,117.892,2017,2-2-0,107.710
Kamuela Kirk,117.867,2021,1-1-0,122.565
Roan Carneiro,117.844,2007,4-5-0,126.244
Megan Anderson,117.834,2020,3-3-0,129.730
Lance Benoist,117.830,2011,2-2-0,104.524
Justin McCully,117.777,2008,2-2-0,114.139
Joanderson Brito,117.698,2022,2-1-0,107.493
Neil Seery,117.667,2015,3-4-0,114.004
Bart Palaszewski,117.661,2011,1-3-0,118.236
Walt Harris,117.660,2019,6-9-0,121.456
Elvis Sinosic,117.631,2001,1-6-0,130.589
Brian Melancon,117.558,2013,1-1-0,124.966
Yoshihiro Akiyama,117.524,2009,2-5-0,136.667
Piotr Hallmann,117.514,2013,2-4-0,123.214
Josh Neer,117.498,2006,6-9-0,115.603
Armen Petrosyan,117.492,2022,2-1-0,110.853
Mike Wilkinson,117.477,2014,2-2-0,119.687
Che Mills,117.477,2012,2-1-0,125.645
Gabe Green,117.451,2022,2-3-0,115.007
Mike Grundy,117.436,2019,1-3-0,114.241
Jutaro Nakao,117.436,2001,1-1-0,123.264
Ismael Bonfim,117.420,2023,1-0-0,130.916
Carmelo Marrero,117.405,2006,1-3-0,123.268
Dennis Hallman,117.405,2000,4-5-0,128.423
Sanae Kikuta,117.404,2000,1-0-0,130.561
Jake Hecht,117.384,2011,1-2-0,112.478
Shinsho Anzai,117.379,2017,2-2-0,115.307
Brianna Fortino,117.376,2019,1-1-0,119.180
Antonio Carvalho,117.348,2012,2-2-0,118.687
Ashlee Evans-Smith,117.339,2016,3-5-0,99.944
Sergey Morozov,117.337,2022,3-2-0,100.040
Michinori Tanaka,117.304,2014,2-3-0,113.533
Shane Roller,117.303,2011,2-4-0,114.124
Waylon Lowe,117.283,2011,2-2-0,119.309
Ludovit Klein,117.276,2022,3-2-1,104.213
Timothy Johnson,117.269,2017,4-3-0,111.128
Ikram Aliskerov,117.249,2023,1-0-0,127.170
Felicia Spencer,117.204,2020,3-3-0,136.089
Pascal Krauss,117.095,2013,2-2-0,114.643
Emil Meek,117.064,2016,1-3-0,151.907
Muhammad Naimov,117.006,2023,1-0-0,121.871
Masanori Kanehara,116.946,2014,1-2-0,134.450
Joe Charles,116.944,1995,2-2-0,117.202
Luke Sanders,116.942,2016,3-5-0,117.235
Eric Schafer,116.917,2009,3-6-0,113.580
Gabriel Bonfim,116.879,2023,1-0-0,119.103
Pete Spratt,116.861,2003,3-4-0,105.017
Jason Day,116.843,2008,1-2-0,130.257
Trevin Jones,116.837,2021,1-4-0,115.270
Niklas Backstrom,116.826,2014,1-2-0,106.423
Irina Alekseeva,116.813,2023,1-0-0,117.675
Fares Ziam,116.800,2021,3-2-0,103.779
Lucie Pudilova,116.799,2018,3-6-0,95.130
Junior Albini,116.795,2017,1-4-0,125.836
Tristan Connelly,116.795,2019,1-2-0,127.864
Hunter Azure,116.793,2020,2-2-0,115.954
Ikuhisa Minowa,116.772,2000,1-0-0,116.767
Lee Murray,116.770,2004,1-0-0,116.736
Semmy Schilt,116.768,2001,1-1-0,109.459
Antonina Shevchenko,116.767,2018,4-4-0,102.982
Joe Slick,116.767,1999,1-1-0,108.333
Stanislav Nedkov,116.761,2011,1-2-0,108.748
Leandro Issa,116.760,2014,2-3-0,111.183
Dmitry Sosnovskiy,116.758,2018,1-0-0,116.466
Andre Winner,116.741,2010,2-4-0,106.684
Lucas Almeida,116.738,2022,1-0-0,116.030
Lauren Mueller,116.736,2018,1-3-0,107.769
Humberto Bandenay,116.736,2017,1-3-0,103.437
Carlo Prater,116.736,2012,1-2-0,105.286
Mark Schultz,116.736,1996,1-0-0,116.000
Chris Kelades,116.736,2014,2-2-0,114.784
Akihiro Gono,116.735,2007,1-2-0,138.737
Albert Duraev,116.730,2023,2-1-0,110.403
Katsunori Kikuno,116.727,2014,2-3-0,119.195
Trey Waters,116.708,2023,1-0-0,115.379
Bibulatov Magomed,116.705,2017,1-2-0,111.429
Tim Hague,116.705,2009,1-4-0,113.006
Hans Stringer,116.705,2014,1-2-0,106.720
Dustin Kimura,116.703,2013,2-3-0,98.691
Leslie Smith,116.702,2017,4-3-0,95.538
Juliana Lima,116.702,2015,3-4-0,104.389
Luis Henrique,116.700,2016,2-4-0,100.010
Alptekin Ozkilic,116.697,2013,1-3-0,110.806
Christian Wellisch,116.681,2007,2-3-0,102.936
Austin Lingo,116.680,2021,2-2-0,104.689
Cole Smith,116.680,2019,1-2-0,105.204
Ji Yeon Kim,116.678,2018,3-7-0,93.628
Justin Eilers,116.677,2004,1-3-0,120.890
Shane Young,116.667,2019,2-4-0,102.976
Damien Brown,116.657,2016,2-4-0,100.288
Javier Vazquez,116.645,2011,1-0-0,114.007
Mike Massenzio,116.633,2008,2-5-0,109.835
Steve Erceg,116.611,2023,1-0-0,113.274
Steve Bosse,116.586,2016,2-1-0,99.363
Drew McFedries,116.568,2007,4-5-0,103.665
Noad Lahat,116.564,2015,2-2-0,102.885
Fernando Padilla,116.559,2023,1-0-0,112.153
Aleksa Camur,116.552,2020,1-2-0,98.195
David Onama,116.536,2022,2-2-0,99.723
Luke Cummo,116.510,2007,3-4-0,95.793
Yuta Sasaki,116.510,2014,4-5-0,111.834
Johnny Eduardo,116.467,2016,3-5-0,107.537
Mark Godbeer,116.466,2017,2-2-0,99.073
Robert Whiteford,116.446,2015,2-3-0,109.516
Brian Foster,116.410,2010,3-2-0,95.373
Wang Guan,116.368,2017,1-0-0,107.989
Kron Gracie,116.367,2019,1-2-0,113.841
Shannon Gugerty,116.351,2009,2-3-0,114.197
Renato Verissimo,116.331,2004,1-2-0,130.896
Alessio Di Chirico,116.263,2018,4-7-0,102.993
Benito Lopez,116.231,2019,2-2-0,113.661
Takanori Gomi,116.208,2014,4-9-0,138.595
Emily Ducote,116.186,2022,1-2-0,98.599
Charles Johnson,116.157,2023,2-3-0,100.441
Uros Medic,116.122,2022,2-1-0,105.785
Jimmy Flick,116.121,2020,1-1-0,101.004
Ron Waterman,116.115,2000,2-1-1,95.660
Shamil Gamzatov,116.113,2019,1-1-0,109.569
Damian Stasiak,116.089,2016,2-4-0,101.654
Danielle Taylor,116.079,2017,2-3-0,97.604
Jonathan Brookins,116.071,2012,2-3-0,116.368
Tom Duquesnoy,116.068,2017,2-1-0,95.402
Kazuki Tokudome,116.068,2013,1-3-0,104.367
Andrei Semenov,116.058,2002,1-1-0,100.630
Jorge Gurgel,116.054,2007,3-4-0,91.502
Reza Madadi,116.054,2016,3-4-0,113.632
Maheshate,116.040,2022,1-2-0,90.707
Inoue Mizuki,116.039,2019,1-1-0,101.170
Philip De Fries,116.038,2011,2-3-0,108.361
Jonathan Wilson,116.036,2015,1-3-0,96.557
Bojan Velickovic,116.036,2016,2-3-1,112.727
Nick Catone,116.034,2011,4-4-0,102.692
Tim Elliott,116.032,2013,8-10-0,123.520
Abu Azaitar,116.022,2018,1-1-0,78.096
Jon Tuck,116.003,2014,4-5-0,101.408
Yui Chul Nam,116.003,2014,1-2-0,79.881
Ken Stone,116.002,2012,2-2-0,100.009
Matt Veach,116.002,2009,1-2-0,127.047
Levan Makashvili,116.001,2015,1-1-1,97.368
Manvel Gamburyan,116.001,2008,6-8-0,110.777
