Fighter,Peak Elo,Year Achieved,UFC Record,Avg. Opp. Elo
Brandon Moreno,203.662,2023,9-3-2,162.958
Matt Brown,203.163,2014,17-13-0,130.841
Jacare Souza,202.566,2018,9-7-0,172.945
Sean O'Malley,202.445,2022,8-1-0,124.711
Leonardo Santos,202.418,2020,7-3-1,124.592
Jorge Masvidal,202.283,2019,12-10-0,174.971
Gleison Tibau,201.746,2015,16-12-0,118.931
Carla Esparza,200.500,2022,10-5-0,135.369
Pat Miletich,200.402,2000,8-2-0,115.436
Dan Hooker,200.064,2020,12-8-0,149.446
Thiago Alves,199.910,2008,14-12-0,141.740
Diego Ferreira,199.775,2020,9-5-0,144.986
Al Iaquinta,199.078,2018,9-6-0,150.105
Alexander Volkov,198.848,2023,10-4-0,162.500
Randy Brown,198.765,2022,10-5-0,136.246
Khamzat Chimaev,198.637,2022,6-0-0,148.902
Alexander Gustafsson,198.170,2014,10-8-0,162.454
Ricky Simon,198.069,2022,8-3-0,146.974
Rob Font,197.617,2021,10-5-0,150.560
Cody Garbrandt,196.010,2016,8-5-0,156.344
Mark Coleman,195.590,1997,7-5-0,128.810
Elizeu Zaleski dos Santos,195.558,2023,10-3-0,120.689
Martin Kampmann,195.307,2012,11-6-0,133.029
Alex Morono,194.893,2022,12-5-0,116.140
Ricardo Lamas,194.826,2017,11-6-0,149.062
Alistair Overeem,194.822,2020,12-8-0,159.644
Alex Oliveira,194.579,2018,11-10-0,129.631
Chad Mendes,194.571,2015,9-5-0,157.319
Tim Sylvia,194.381,2006,9-4-0,139.147
Nik Lentz,194.381,2019,14-9-1,129.298
Dominick Reyes,194.002,2019,6-4-0,159.183
Jonathan Martinez,193.984,2023,9-3-0,119.183
Mike Pierce,193.741,2013,9-5-0,135.302
Jake Ellenberger,193.648,2013,10-11-0,139.365
Matt Hamill,193.539,2010,9-5-0,131.245
Daniel Rodriguez,192.939,2022,7-3-0,143.665
Anthony Smith,192.684,2021,11-8-0,154.087
Dennis Bermudez,192.608,2014,10-7-0,125.282
Myles Jury,192.578,2014,8-4-0,136.443
Sergei Pavlovich,191.964,2023,6-1-0,162.509
Chris Gutierrez,191.575,2022,7-2-1,121.715
Kevin Holland,191.348,2020,11-6-0,137.555
Ronda Rousey,191.114,2015,6-2-0,129.016
Shavkat Rakhmonov,191.096,2023,5-0-0,186.303
Bryce Mitchell,191.079,2022,6-1-0,126.514
Sergio Moraes,191.002,2018,8-5-1,128.023
Tatiana Suarez,190.906,2023,6-0-0,120.918
Jens Pulver,190.636,2002,6-2-1,114.209
Gregor Gillespie,190.484,2021,7-1-0,134.499
Francis Carmont,189.774,2013,6-3-0,127.859
Corey Anderson,189.713,2019,10-5-0,130.177
Zabit Magomedsharipov,189.410,2019,6-0-0,113.854
Quinton Jackson,189.293,2011,8-5-0,162.190
Elias Theodorou,189.242,2018,8-3-0,129.339
Travis Browne,189.133,2013,9-7-1,149.784
Karo Parisyan,189.128,2007,8-4-0,120.498
Marvin Vettori,188.992,2023,9-4-1,154.419
Stefan Struve,188.675,2012,13-11-0,118.589
Nate Diaz,188.616,2019,16-11-0,154.674
Dominick Cruz,187.921,2021,7-3-0,173.489
Matheus Nicolau,187.871,2022,7-2-0,117.992
Mairbek Taisumov,187.573,2018,7-2-0,114.153
Melvin Guillard,187.537,2011,12-9-0,120.919
Jussier Formiga,186.997,2019,9-7-0,142.807
Rick Story,186.975,2016,12-7-0,141.255
Li Jingliang,186.927,2021,11-6-0,128.007
Rafael Fiziev,186.890,2022,6-2-0,147.220
Marcin Tybura,186.755,2023,11-6-0,135.031
Yan Xiaonan,186.703,2023,8-2-0,128.613
Geoff Neal,186.672,2022,7-3-0,162.951
Marina Rodriguez,186.535,2022,6-3-2,137.380
Alexandre Pantoja,186.531,2022,9-3-0,122.671
Jake Matthews,186.344,2020,11-6-0,122.316
Zhang Weili,186.308,2022,7-2-0,163.021
Paul Felder,186.287,2019,9-6-0,150.609
Mark Munoz,186.273,2011,9-6-0,138.074
John Hathaway,186.068,2012,7-2-0,123.620
Darren Till,185.988,2018,6-5-1,172.450
Dricus Du Plessis,185.922,2023,5-0-0,159.556
Roger Huerta,185.726,2007,6-2-0,119.595
Jamahal Hill,185.718,2023,6-1-0,140.828
Kyoji Horiguchi,185.545,2016,7-1-0,110.532
TJ Grant,185.444,2013,8-3-0,130.354
Pedro Munhoz,185.232,2019,10-7-0,150.656
Justin Gaethje,185.160,2023,7-4-0,213.293
