Fighter,Elo,UFC Record,Unbeaten Streak,Last 5 Fights,DelME,DelME1,DelME2,DelME3
Derrick Lewis,185.875,17-9-0,0,- 18.5,- 20.0,- 19.6,+ 13.0,- 18.4
Katlyn Chookagian,185.744,11-5-0,0,- 18.0,+ 14.7,+ 13.6,+ 15.3,+ 17.3
Jamahal Hill,185.718,6-1-0,4,+ 19.4,+ 16.9,+ 15.5,+ 16.7,- 15.7
Kyoji Horiguchi,185.545,7-1-0,3,+ 14.4,+ 14.2,+ 14.0,- 13.0,+ 13.4
TJ Grant,185.444,8-3-0,5,+ 18.4,+ 17.1,+ 17.4,+ 16.0,+ 16.2
Justin Gaethje,185.160,7-4-0,1,+ 16.9,- 11.3,+ 13.4,- 11.4,+ 22.2
Phil Davis,185.104,9-3-0,0,- 16.1,+ 15.3,- 18.6,+ 17.4,+ 12.1
Alexa Grasso,184.976,8-3-0,5,+ 19.9,+ 15.8,+ 14.3,+ 16.5,+ 16.7
Rich Franklin,183.754,14-6-0,0,- 20.7,+ 11.7,- 18.1,+ 16.5,- 19.0
Arman Tsarukyan,183.150,7-2-0,2,+ 13.9,+ 17.0,- 17.5,+ 15.7,+ 15.2
Zak Cummings,183.149,10-4-0,2,+ 14.4,+ 12.7,- 17.1,+ 14.8,+ 14.3
Carla Esparza,183.046,10-5-0,0,- 17.5,+ 17.1,+ 16.9,+ 15.3,+ 16.0
Erin Blanchfield,182.580,5-0-0,5,+ 18.3,+ 15.7,+ 17.2,+ 16.0,+ 15.3
Rob Font,182.535,10-5-0,1,+ 16.4,- 15.6,- 15.9,+ 15.4,+ 15.4
Michael Chiesa,182.478,11-6-0,0,- 17.6,- 14.9,+ 18.3,+ 17.8,+ 16.4
Ricky Simon,181.530,8-3-0,0,- 16.5,+ 15.6,+ 16.3,+ 15.4,+ 14.3
Yoel Romero,180.578,9-4-0,0,- 14.7,- 18.4,- 15.9,+ 14.6,- 16.8
Josh Emmett,180.567,9-4-0,0,- 16.7,- 16.3,+ 14.9,+ 15.0,+ 16.4
Sodiq Yusuff,180.156,6-1-0,2,+ 12.9,+ 16.8,- 14.4,+ 16.1,+ 16.6
Chris Weidman,180.130,11-6-0,0,- 18.0,+ 15.9,- 17.0,- 17.5,+ 15.7
Germaine de Randamie,180.018,7-2-0,1,+ 15.7,- 13.0,+ 15.3,+ 16.1,+ 15.4
